Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
USA_CAN_Expansion_desc;§RGain 20 infamy§! Congressman Nathaniel Prentice Banks has presented us with an opportunity, a bill that provides the president the authorization to take control of the states of Nova Scotia, New Brunswick, Canada East, Canada West, the Territories of Selkirk, Saskatchewan, and Columbia. However, a failure to take these territories will result in immense consequences.;;;;;;;;;;;;;
USA_CAN_Expansion_title;The Annexation Bill of $YEAR$;;;;;;;;;;;;;
USA_CAN_denied_title;The Treaty of Ottawa;;;;;;;;;;;;;
USA_CAN_denied_desc;British and Canadian troops have successfully defended the 50th Parallel, and the onslaught of American militiamen has been thrown back. With the war over, it is time to clip the Eagle's wings and redraw the borders of North America to ensure lasting peace in the New World. We welcome the American diplomats into Ottawa so they might behold what they will never have. All the Oregon Territory will be returned to British hands, and several northern US territories along with the state of Michigan will be transferred to the Dominion of Canada. Also, the Treaty calls for the formation of a new and independent, under British supervision of course, Republic of New England composed of several north-eastern states. With all these measures in place, British interest in the New World shall never again be threatened by the rabble of uncivilized men.;;;;;;;;;;;;;
USA_CAN_achieved_title;The Treaty of Philadelphia;;;;;;;;;;;;;
USA_CAN_achieved_desc;After terrible fighting across the Americas, the virtuous patriots of Liberty have triumphed over the wicked tyrants of the Old World. In cities throughout the country, banners of red, white, and blue are raised to celebrate the induction of Canada into the Union. Patriotism is a fever pitch as delegates in Philadelphia sign a treaty which banishes the United Kingdom from the Americas. Any British colonial possessions are transferred to the United States so that the damages done to them during their time under Royalist oppression might be repaired. A new and beautiful day is dawning, as majestic American Eagle spreads his mighty wings over the American continents.;;;;;;;;;;;;;
FRA_USA_QUE_title;Attempt to Purchase Quebec from the Americans;;;;;;;;;;;;;
FRA_USA_QUE_desc;Relations between the France and the United States have always been rather cordial ever since the days of Lafayette. With Quebec now in their hands after the so-called Crusader for Canada, the Americans may be more willing to negotiate with France over returning Quebec back to its rightful rulers. Surely the Americans of all people will understand how important it is to undo the damage done by the British.;;;;;;;;;;;;;
USA_french_title;The Quebec Question;;;;;;;;;;;;;
USA_french_desc;After the liberation of Quebec, the issue on what to do with the French speaking population needs to be resolved. Should they be given home rule or should they be integrated into the Union.;;;;;;;;;;;;;
USA_canadian_title;Integrate the Canadians;;;;;;;;;;;;;
USA_canadian_desc;Sadly while the United States achieved independence in 1776, our Canadian brothers to the north remained under subjugation. Finally, the Canadians can be integrated into this great Union.;;;;;;;;;;;;;
EVTDESC72749;There seems to be no end to American aggression. First, they seize Oregon, and now their so called Manifest Destiny calls for all the Great White North to be in their hands. Diplomacy with these fanatics is useless and who knows what else those war hawks in Washington are planning. To secure the Canadian frontier from the American menace, all colonial dominions must come under direct rule from London.;;;;;;;;;;;;;
