Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
dry_mountains;Dry Mountains;;;;;;;;;;;;;
himalayan_mountains;Himalayan Mountains;;;;;;;;;;;;;
canton;Floodplain Farmlands;;;;;;;;;;;;;
annecy;Montane Grassland;;;;;;;;;;;;;
kassel;Grassland;;;;;;;;;;;;;
nagasaki;Grassland;;;;;;;;;;;;;
koblenz;Farmlands;;;;;;;;;;;;;
rouen;Grassland;;;;;;;;;;;;;
lubeck;Farmlands;;;;;;;;;;;;;
pozan;Grassland;;;;;;;;;;;;;
braunschweig;Farmlands;;;;;;;;;;;;;
linz;Forest;;;;;;;;;;;;;
catania;Grassland Hills;;;;;;;;;;;;;
chemnitz;Farmlands;;;;;;;;;;;;;
stjohn;Taiga;;;;;;;;;;;;;
berlin;Farmlands;;;;;;;;;;;;;
paris;Farmlands;;;;;;;;;;;;;
london;Farmlands;;;;;;;;;;;;;
stpetersburg;Grassland;;;;;;;;;;;;;
vienna;Farmlands;;;;;;;;;;;;;
newyork;Farmlands;;;;;;;;;;;;;
rome;Farmlands;;;;;;;;;;;;;
madrid;Farmlands;;;;;;;;;;;;;
stockholm;Farmlands;;;;;;;;;;;;;
istanbul;Grassland;;;;;;;;;;;;;
warsaw;Farmlands;;;;;;;;;;;;;
athens;Grassland;;;;;;;;;;;;;
lisbon;Farmlands;;;;;;;;;;;;;
amsterdam;Farmlands;;;;;;;;;;;;;
brussels;Grassland;;;;;;;;;;;;;
copenhagen;Grassland;;;;;;;;;;;;;
helsinki;Farmlands;;;;;;;;;;;;;
munich;Grassland Hills;;;;;;;;;;;;;
hanover;Farmlands;;;;;;;;;;;;;
dublin;Farmlands;;;;;;;;;;;;;
belgrade;Grassland Hills;;;;;;;;;;;;;
turin;Farmlands;;;;;;;;;;;;;
naples;Grassland;;;;;;;;;;;;;
bern;Montane Grassland;;;;;;;;;;;;;
pest;Farmlands;;;;;;;;;;;;;
bukarest;Grassland;;;;;;;;;;;;;
cairo;Floodplain Farmlands;;;;;;;;;;;;;
prague;Farmlands;;;;;;;;;;;;;
cologne;Grassland;;;;;;;;;;;;;
mexicocity;Grassland Hills;;;;;;;;;;;;;
barcelona;Grassland;;;;;;;;;;;;;
edinburgh;Grassland;;;;;;;;;;;;;
#edo;Urban;;;;;;;;;;;;;
hanseong;Forest;;;;;;;;;;;;;
peking;Grassland Hills;;;;;;;;;;;;;
shanghai;Grassland;;;;;;;;;;;;;
hongkong;Urban;;;;;;;;;;;;;
macao;Urban;;;;;;;;;;;;;
kiev;Farmlands;;;;;;;;;;;;;
riga;Farmlands;;;;;;;;;;;;;
moscow;Forest;;;;;;;;;;;;;
#minsk;Farmlands;;;;;;;;;;;;;
lyon;Grassland;;;;;;;;;;;;;
dc;Farmlands;;;;;;;;;;;;;
chicago;Farmlands;;;;;;;;;;;;;
sanfrancisco;Grassland;;;;;;;;;;;;;
hamburg;Farmlands;;;;;;;;;;;;;
dresden;Forest;;;;;;;;;;;;;
boston;Farmlands;;;;;;;;;;;;;
sofia;Grassland Hills;;;;;;;;;;;;;
tehran;Grassland Hills;;;;;;;;;;;;;
rennes;Farmlands;;;;;;;;;;;;;
marseille;Farmlands;;;;;;;;;;;;;
bordeaux;Farmlands;;;;;;;;;;;;;
toulouse;Plains;;;;;;;;;;;;;
bilbao;Montane Forest;;;;;;;;;;;;;
milan;Farmlands;;;;;;;;;;;;;
luxemburg;Forest;;;;;;;;;;;;;
#liechtenstein;Montane Grassland;;;;;;;;;;;;;
venice;Farmlands;;;;;;;;;;;;;
zagreb;Grassland Hills;;;;;;;;;;;;;
#salonika;Grassland Hills;;;;;;;;;;;;;
ankara;Grassland Hills;;;;;;;;;;;;;
verona;Farmlands;;;;;;;;;;;;;
utrecht;Farmlands;;;;;;;;;;;;;
uppsala;Mining District;;;;;;;;;;;;;
ufa;Montane Grassland;;;;;;;;;;;;;
tours;Forest;;;;;;;;;;;;;
