Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
act_on_language_in_bohemia_title;Act on Language in Bohemia;;;;;;;;;;;;;
act_on_language_in_bohemia_desc;The rise of Czech nationalism led activist Czech politicians to increasingly demand reform in Bohemia that would make Czech an official language of internal administration on par with German, and require all civil servants to know both languages. Needing Czech support in Parliament, on 5 March 1897 Austrian prime minister Badeni introduced a law that would fulfill the Czech demands. Bohemian Germans condemn the proposed legislation, which would benefit Czechs greatly since they learned both Czech and German in school while the Germans had not been required to learn Czech.;;;;;;;;;;;;;
state_visit_to_argentina_title;State Visit to Argentina;;;;;;;;;;;;;
state_visit_to_argentina_desc;President Campos Sales has been invited to Buenos Aires on an official visit to help promote closer relations between the two nations. The Chilean press, due to currently strained relations between Chile and Argentina, are speculating that we are about to form an alliance with Argentina against Chile. Should we accept the invitation?;;;;;;;;;;;;;
##### Paraguay #####;;;;;;;;;;;;;;
paraguayan_law_of_the_free_womb_title;Law of the Free Womb;;;;;;;;;;;;;
paraguayan_law_of_the_free_womb_desc;In 1842, Carlos Antonio López, rather than free the slaves, instead enacted the Law of the Free Womb, which ended the slave trade and guaranteed that the children of slaves would be free at age twenty-five. But the new law served only to increase the slave population and depress slave prices as slave birthrates soared.;;;;;;;;;;;;;
reaffirm_paraguayan_independence_title;Reaffirm Paraguayan Independence;;;;;;;;;;;;;
reaffirm_paraguayan_independence_desc;On November 25th 1842, a congress that reaffirmed the Paraguayan independence from Argentina took place in Asuncion, which increased the Paraguayan national pride.;;;;;;;;;;;;;
start_the_campaign_against_the_guaranis_title;Start the Campaign Against the Guaranis;;;;;;;;;;;;;
start_the_campaign_against_the_guaranis_desc;In 1843, López undertook a bloody campaign against the Guarani Indians who inhabited yerba mate fields. López made yerba mate and exportable lumber properties of the state.;;;;;;;;;;;;;
student_exchange_and_importation_of_technicians_title;Student Exchange and Importation of Technicians;;;;;;;;;;;;;
student_exchange_and_importation_of_technicians_desc;Carlos Antonio López, worried with the development of industry, instead of consuming the income gotten with leather and yerba-mate exports and with the tariffs imposed on imports of manufactured products, the new dictator chose to increase the technical expertise of the country, aiming at increasing internal production. Paraguayan students were sent to foreign nations and foreign technicians were contracted.;;;;;;;;;;;;;
send_solano_lopez_to_europe_title;Send Solano López to Europe;;;;;;;;;;;;;
send_solano_lopez_to_europe_desc;In 1853, Francisco Solano López, Carlos Antonio López's son, travelled to Europe to buy arms for the Paraguayan army. In Europe he fell in love with Elisa Alicia Lynch, who would live with him until his last days. In Europe he also admired the trappings and pretensions of the French empire of Napoleon III.;;;;;;;;;;;;;
