Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ABU_violate_neutrality_title;Violate Abu Dhabi Neutrality;;;;;;;;;;;;;
ABU_violate_neutrality_desc;The Trucial States may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
AFG_violate_neutrality_title;Violate Afghan Neutrality;;;;;;;;;;;;;
AFG_violate_neutrality_desc;The Afghans may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ALB_violate_neutrality_title;Violate Albanian Neutrality;;;;;;;;;;;;;
ALB_violate_neutrality_desc;The Albanians may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ALD_violate_neutrality_title;Violate Algerian Neutrality;;;;;;;;;;;;;
ALD_violate_neutrality_desc;The Algerians may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ANH_violate_neutrality_title;Violate Anhalt Neutrality;;;;;;;;;;;;;
ANH_violate_neutrality_desc;The Anhalters may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ARA_violate_neutrality_title;Violate Arab Neutrality;;;;;;;;;;;;;
ARA_violate_neutrality_desc;The Arabs may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ARG_violate_neutrality_title;Violate Argentinian Neutrality;;;;;;;;;;;;;
ARG_violate_neutrality_desc;The Argentinians may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ARM_violate_neutrality_title;Violate Armenian Neutrality;;;;;;;;;;;;;
ARM_violate_neutrality_desc;The Armenians may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ASM_violate_neutrality_title;Violate Assam Neutrality;;;;;;;;;;;;;
ASM_violate_neutrality_desc;The Assamese may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
AST_violate_neutrality_title;Violate Australian Neutrality;;;;;;;;;;;;;
AST_violate_neutrality_desc;The Australians may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;
ATJ_violate_neutrality_title;Violate Atjeh Neutrality;;;;;;;;;;;;;
