Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
claim_tyrol_title;Claim Tyrol;;;;;;;;;;;;;
claim_tyrol_desc;Tyrol and the rest of the Austrian's german lands once used to be part of the Kingdom of Bavaria before it was split from us during the Holy Roman Empire days, and it was then briefly part of our territory during the Napoleonic War before being taken away from us again, now that we have enough power to contest other german powers, it's time to start retaking what was taken away from us and claim Tyrol as part of Bavaria.;;;;;;;;;;;;;
reclaim_vienna_title;Retake Wien;;;;;;;;;;;;;
reclaim_vienna_desc;After reuniting the rest of the Southern German States under the city of Munich, it's time to look to the east. Austria which was once part of the old Kingdom of Bavaria during the Charlemagne days, lies a lot of South Germans living under the Habsburg dynasty, not only do they share similar dialect and accent to us Bavarians, but they also wish they could be reunited with the rest of the South Germans. While we don't think the Habsburg would like to hand us over Wien, with our power, we should be able to retake those lands, even if force is necessary.;;;;;;;;;;;;;
claim_styria_n_southern_sudeten_title;Claim Styria and Sudeten;;;;;;;;;;;;;
claim_styria_n_southern_sudeten_desc;After having taken over Wien, there's still a few places with Germans that are outside of our territories. Southern Sudetenland is filled with Germans that are currently owned by Prag and Steiermark is still separated from our control, but that changes today,as we have the power to reunite the old state of Steiermark and take over the Sudeten region close to the city of Wien.;;;;;;;;;;;;;
peace_of_bayern_title;Treaty of Bayern;;;;;;;;;;;;;
peace_of_bayern_desc;Now that we have defeated the Prussian bastards, it's time to settle our peace negotiation, to dominate Germany once and for all.;;;;;;;;;;;;;
EVTDESC99888900;We have lost the war for the hegemony of Germany, now we have been forced to make some concessions in Germany.;;;;;;;;;;;;;
reclaim_slovenia_n_istrien_title;reclaim Slovenia and Istrien;;;;;;;;;;;;;
reclaim_slovenia_n_istrien_desc;it's time to restore our old borders in the Slovenian and Italians lands. We have an opprotunity to get our old 9th century borders and get access to the sea.;;;;;;;;;;;;;
