Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
dismantlement_loc_ddr_1;§bWe Have§!;;;;;;;;;;;;;
dismantlement_loc_ddr_1b;§B5§!;;;;;;;;;;;;;
dismantlement_loc_ddr_2;§bRemaining Dismantlement Dollars§!;;;;;;;;;;;;;
dismantlement_loc_ddr_3;§band§!;;;;;;;;;;;;;
dismantlement_loc_ddr_4;§bInfamy§!;;;;;;;;;;;;;
dismantlement_loc_1;§b has fallen. The war has concluded with our unconditional surrender to §!;;;;;;;;;;;;;
dismantlement_loc_2;§b. Our major cities, including §!;;;;;;;;;;;;;
dismantlement_loc_3;§b, lie in ruins, with critical infrastructure destroyed. §!;;;;;;;;;;;;;
dismantlement_loc_4;§b forces now occupy key strategic points across our territory.§!;;;;;;;;;;;;;
dismantlement_loc_5;§bIn §!;;;;;;;;;;;;;
dismantlement_loc_6;§b diplomats are negotiating the terms of our defeat. The discussions revolve around border adjustments, reparations, and the dismantling of our military capabilities. As §!;;;;;;;;;;;;;
dismantlement_loc_7;§b decides on our future, the population faces an uncertain period of reconstruction and the potential of a new nationality.§!;;;;;;;;;;;;;
dismantlement_loc_8;§bWe can finally declare victory! §!;;;;;;;;;;;;;
dismantlement_loc_9;§b has fallen, and we now commence the systematic dismantlement of their nation. Their military forces have been utterly crushed, their government toppled, and their ability to resist eliminated. §!;;;;;;;;;;;;;
dismantlement_loc_10;§b, we will dictate the terms of §!;;;;;;;;;;;;;
dismantlement_loc_11;§b's dissolution. Our primary focus is on dismantling their political structures, industrial capacity, and military capabilities. We are dividing their territory, redistributing key resources, and ensuring they can never again pose a threat to our interests.§!;;;;;;;;;;;;;
dismantlement_loc_12;§bNegotiations turn to §!;;;;;;;;;;;;;
dismantlement_loc_13;§b's future. The §!;;;;;;;;;;;;;
dismantlement_loc_14;§b independence movement, based in §!;;;;;;;;;;;;;
dismantlement_loc_15;§b, seeks freedom from §!;;;;;;;;;;;;;
dismantlement_loc_16;§b. We must decide whether to support §!;;;;;;;;;;;;;
dismantlement_loc_17;§b's independence, preserve §!;;;;;;;;;;;;;
dismantlement_loc_18;§b's borders, or seek a more lucrative arangement.      §!;;;;;;;;;;;;;
dismantlement_loc_19;§bOur newly independent nation, born from the remnats of §!;;;;;;;;;;;;;
dismantlement_loc_20;§b, is unexpectedly constrained by the Treaty of §!;;;;;;;;;;;;;
dismantlement_loc_21;§b. Despite our lack of influence in the war, the victorious powers imposed strict limits on our military development, citing "regional stability concerns." Our rich natural resources, once the pride of our region, were now subject to "international oversight," with §!;;;;;;;;;;;;;
dismantlement_loc_22;§b companies gaining preferential access through opaque agreements. As we struggle to assert our sovereignty, our people are begining to realize that independence on paper has not necessarily translated to true self-determination.§!;;;;;;;;;;;;;
dismantlement_loc_23;§bIntergrate into §!;;;;;;;;;;;;;
dismantlement_loc_24;Choose a Great Power to dismantle|;;;;;;;;;;;;;
dismantlement_loc_25;§bThis can be used for high-stakes options during the following dismantlement conference, such as annexing, puppeting and taking colonies. This metric has a base value of §B10§b and is calculated based on following conditions|§!;;;;;;;;;;;;;
dismantlement_loc_26;Mass Politics Researched|;;;;;;;;;;;;;
dismantlement_loc_27;In Default|;;;;;;;;;;;;;
dismantlement_loc_28;Ships;;;;;;;;;;;;;
dismantlement_loc_29;Troops;;;;;;;;;;;;;
dismantlement_loc_30;Funds;;;;;;;;;;;;;
dismantlement_total_currency;Total Dismantlement Dollars|;;;;;;;;;;;;;
dismantlement_total_number;§B36§!;;;;;;;;;;;;;
EVTDismantlementOverwriteOPTA;Liberate & Overwrite New States;;;;;;;;;;;;;
EVTDismantlementLiberateOPTB;Liberate Within the Remaining Boundaries;;;;;;;;;;;;;
EVTDismantlementPuppetOPTC;Install Our Own Regime [§B-3§!] [§R+2§!];;;;;;;;;;;;;
EVTDismantlementAnnexOPTD;Annex for Ourselves [§B-7§!] [§R+5§!];;;;;;;;;;;;;
