key;english;;;;;;;;;;;;;
EVTDESC324345335;\n\nWith the Oyo being weakened, we could launch a Jihad against them with Ilorin.;;;;;;;;;;;;;
EVTDESC324345336;\n\nIlorin has declared a Jihad against us!;;;;;;;;;;;;;
EVTDESC324345337;\n\nGobir has betrayed our Treaty of 1829 and rebelled against our rule. We should intervene!;;;;;;;;;;;;;
EVTDESC324345339;\n\nWe have pacified the Pagan lands of Kebbi and formed an Emirate in its place.;;;;;;;;;;;;;
EVTDESC18482431;\n\nWith the occupation of Hamdallahi by the Tuareg Kel, we can now join to annex Massina jointly!;;;;;;;;;;;;;
EVTDESC16061949;\n\nWith our phyrric war against the Qasimis ending unanswered, a faction of the Bani Yas has grown dissatisfied and moved to Dubai, where they founded a new, independent Emirate.;;;;;;;;;;;;;
EVTDESC45657683;\n\nCleanup to give the events.;;;;;;;;;;;;;
EVTDESC456576841;\n\nCleanup to give the events.;;;;;;;;;;;;;
EVTDESC456576842;\n\nCleanup to give the events.;;;;;;;;;;;;;
EVTDESC456576843;\n\nCleanup to give the events.;;;;;;;;;;;;;
EVTDESC806;\n\nThe garrison at the formidable Fortress of Luxemburg has mutinied and joined Belgium.;;;;;;;;;;;;;
EVTDESC16051876;\n\nCleanup to give the events.;;;;;;;;;;;;;
EVTDESC16051877;\n\nCleanup to give the events.;;;;;;;;;;;;;
EVTDESC20041209;\n\nTo balance the technologies of the countries, we halve the research points at the start.;;;;;;;;;;;;;
EVTDESC20041213;\n\nGran Colombia has proposed a compromise to settle our dispute in the Amazon. Foreign ministers Tomas de Mosquera and Carlos Pedemonte have cooperated to come up with an equitable settlement.;;;;;;;;;;;;;
EVTDESC20041212;\n\nThe Peruvian government has signed our proposed treaty, fairly settling our dispute forevermore.;;;;;;;;;;;;;
EVTDESC20041211;\n\nThe Peruvian government has snubbed our attempt to fairly settle our dispute. The only remaining solution is on the field of battle.;;;;;;;;;;;;;
EVTDESC20041210;\n\nEcuador has proposed a compromise to settle our dispute in the Amazon. Foreign ministers Diego Noboa and Jose Pando have cooperated to come up with an equitable settlement.;;;;;;;;;;;;;
EVTDESC127859;\n\nHaiti supports Jamaica!;;;;;;;;;;;;;
EVTDESC127961;\n\nAfter fighting the Jamaican slaves, we finally have won the war.;;;;;;;;;;;;;
EVTDESC183518367;\n\nBoers have gained effective control over Botshabelo.;;;;;;;;;;;;;
EVTDESC183518362;\n\nBoers have gained effective control over Botshabelo.;;;;;;;;;;;;;
EVTDESC368793964;\n\nThe British, in spite of our recent revolt, have recognized our independence.;;;;;;;;;;;;;
EVTDESC260519062;\n\nyay! <3;;;;;;;;;;;;;
EVTDESC54543342;\n\nFollowing the fall of Algiers and the ensuing power vaccuum, the inhabitants of Tilimsan have requested protection from Morocco, leading to the sultanate's forces taking the city.;;;;;;;;;;;;;
EVTDESC54543350;\n\nAfter some bloody battles, we have pacified the countryside and reinstated our rule.;;;;;;;;;;;;;
EVTDESC64543346;\n\nSultan Abd al-Rahman has vehemently rejected our ultimatum, insisting on ruling Tlemcen in perpetuity and even reinforcing the city.;;;;;;;;;;;;;
EVTDESC64543347;\n\nSultan Abd al-Rahman has begrudgingly agreed to abandon Tlemcen. With his forces retreating to Oujdah, we have successfully taken control of the strategic city.;;;;;;;;;;;;;
EVTDESC127841;\n\nAfter more than 5 years of fighting guerilla warfare and Javanese rebels, we finally pacified our lands in Java.;;;;;;;;;;;;;
EVTDESC127850;\n\nAfter more than 5 years of fight against the Dutch, we finally won against our colonizers.;;;;;;;;;;;;;
EVTDESC127843;\n\nAfter more than 5 years of fight against the Dutch, we lost our independence and lands to the Dutch.;;;;;;;;;;;;;
EVTDESC127844;\n\nAfter more than 5 years of fighting guerilla warfare and Javanese rebels, we catastrophically lost our control over Java, and our domination over the East Indies is weaker by the day.;;;;;;;;;;;;;
EVTDESC184823113;\n\nLourenço Marques has a small Portuguese garrison, which somewhat holds to the surrounding lands. Should we raid such weak force?;;;;;;;;;;;;;
EVTDESC184823115;\n\nOur raid has been able to get our fair share of Delagoa Bay and looted Lourenco Marques.;;;;;;;;;;;;;
EVTDESC184823116;\n\nOur raid has been able to get our fair share of Delagoa Bay and looted Lourenco Marques, but the Portuguese have retaliated with an expedition.;;;;;;;;;;;;;
EVTDESC16061993;\n\nWe have defeated the Christinos and taken control of Spain. Carlos has assended the throne as Spain enters a new era.;;;;;;;;;;;;;
EVTDESC160518523;\n\nThe Ottomans have let us be independent as they cannot hold a war in our front.;;;;;;;;;;;;;
