JAN_reactionary;Strid Partiet;;Strid Partiet;;;;;;;;x
EXILED_DESC;This unit is §Rexiled§!, as it's in foreign territory during peacetime without military access. Exiled units cannot engage in combat, and their scouting abilities are reduced, but they are able to march home through foreign territory. Return your unit to the nearest owned province!;;Diese Einheit befindet sich im §RExil§!, da sie sich zu Friedenszeiten ohne Durchmarschrechte in fremdem Territorium aufhält. Einheiten im Exil können nicht an Kämpfen teilnehmen und haben reduzierte Sichtweite, dürfen aber durch fremdes Territorium nach Hause marschieren. Bewegen sie diese Eineit zu einer Ihrer Provinzen, um den Status aufzuheben!;;;;;;;;x
TWS_FULFILLED;Fulfilled in $PERC$;;Erfüllt zu $PERC$;;;;;;;;x
TWS_NOT_FULFILLED;§RNot Fulfilled§!;;§RNicht erfüllt§!;;;;;;;;x
TICKING_WARSCORE_DESC_CURR;Currently $VAL$.;;Derzeit $VAL$.;;;;;;;;x
UNIT_BORROWED;This unit is temporarly under our command.;;Diese Einheit befindet sich zeitweilig unter unserem Kommando.;;;;;;;;x
DISBAND_TOO_SMALL_UNIT;Disband Undermanned Brigades;;Unterbesetzte Brigaden auflösen;;;;;;;;x
DISBAND_TOO_SMALL_UNIT_DRO;This option will disband all brigades that are not currently supported by a full-strength soldier POP.;;Diese Option löst alle Brigaden auf, die nicht auf einer vollwertigen Soldaten-Bevölkerung basieren.;;;;;;;;x
CONFIRM_DISBAND_TOO_SMALL_TITLE;Do you wish to disband all undermanned brigades?;;Möchten sie alle unterbesetzten Brigaden auflösen?;;;;;;;;x
CONFIRM_DISBAND_TOO_SMALL_DESC;This will remove all brigades that are not currently supported by a full-strength soldier POP, and you will no longer have to pay any maintenance costs for them. Any manpower remaining in those brigades will be returned to the pool.;;Dies entfernt alle Brigaden, die gegenwärtig von einer zu kleinen Soldaten Bevölkerung verstärkt werden. Sie müssen keine Instandhaltungskosten mehr für sie bezahlen und alle in den Brigaden verbleibenden Soldaten kommen in den Mannstärke-Vorrat zurück.;;;;;;;;x
MODIFIER_RESEARCH_POINTS_ON_CONQUER;Research points bonus when conquering;;Forschungspunkte Bonus durch Eroberung;;;;;;;;x
colonial_negotiations;Colonial Negotiations;;Koloniale Verhandlungen;;;;;;;;x
colonial_negotiations_desc;Whatever happens, we have got \nThe Maxim gun, and they have not'\n\n Machine Guns allowed armies to devastate forces using massed charge tactics, an ability that was especially useful when it came to defeating 'uncivilised' nations who objected to being colonised.;;Was auch immer passiert, wir haben das \nThe Maxim-Maschinengewehr, und die nicht'\n\n Die Verwendung von Maschinengewehren ermöglichte es Armeen feindliche Massenangriffe anzuwehren, eine Fähigkeit die besonders gegen die 'unzivilisierte' Nationen wirksam war, welche sich kolonialen Ansprüchen widersetzten.;;;;;;;;x
PRODUCTION_BONUS_POSSIBLE;Possible bonus from:;;Mögliche Boni durch:;;;;;;;;x
COLONIZE_PHASE_INITIAL_INTEREST;Send expedition;;Expedition entsenden;;;;;;;;x
COLONIZE_PHASE_INITIAL_INTEREST_DESC;The first step of influencing an area is to send an expedition. If it is not challenged in §Y$DAYS$§! days it will allow you to create a protectorate;;Der erste Schritt um Einfluss in einer Region zu erlangen ist das Entsenden einer Expedition. Falls keine andere Nation innerhalb von §Y$DAYS$§! Tagen ebenfalls Interesse anmeldet, können wir sofort ein Protektorat errichten.;;;;;;;;x
INITIAL_COLONIZE_DEFAULT_TIME;If nobody competes with your expedition by §Y$DATE$§! you can skip directly to creating a protectorate;;Wenn keine andere Nation bis zum §Y$DATE$§! mit unserer Expedition konkurriert, können wir sofort ein Protektorat errichten.;;;;;;;;x
COUNTRYALERT_ColonialGood_protectorate;§GWe can create a protectorate in §!§Y$REGION$§!;;§GWir können ein Protektorat in §!§Y$REGION$§ errichten!;;;;;;;;x
COUNTRYALERT_ColonialGood_colony;§GWe can create a colony in §!§Y$REGION$§!;;§GWir können eine Kolonie in §!§Y$REGION$§ errichten!;;;;;;;;x
COUNTRYALERT_ColonialGood_state;§GWe can create a state in §!§Y$REGION$§!;;§GWir können einen Nationalstaat §!§Y$REGION$§! Gründen!;;;;;;;;x
COUNTRYALERT_ColonialBad_colonizationtimer;§RWe need to create a protectorate in §!§Y$REGION$§!§R before §Y$DATE$§!§R or lose it.§!;;§RWir müssen ein Protektorat in §!§Y$REGION$§!§R vor dem §Y$DATE$§!§R errichten oder wir werden diese Region verlieren.§!;;;;;;;;x
COUNTRYALERT_ColonialBad_influence;§RWe are losing the race in §!§Y$REGION$§!;;§RWir verlieren den Wettlauf um §!§Y$REGION$§!;;;;;;;;x
NON_COLONIAL_POWER;We are not a second rank nation or great power yet so we have no colonial power.;;Wir sind derzeit weder Sekundärmacht noch Großmacht und haben daher keinerlei koloniale Einflusspunkte.;;;;;;;;;;;x
CRISIS_DESCRIPTION_COLONIZE;Crisis over the rights to colonize.;;Koloniale Krise;;;;;;;;x
colonial_competition;Enforce colonial claim;;Koloniale Ansprüche druchsetzen;;;;;;;;x
colonial_competition_desc;Acquire a §Ycolonial region§!;;Erhalte §YKoloniale Region§!;;;;;;;;x
colonial_competition_short;Acquire colony $REGION$;;Erhalte die Kolonie $REGION$;;;;;;;;x
colonial_competition_setup;Acquire colony $REGION$;;Erhalte die Kolonie $REGION$;;;;;;;;x
CB_COLONY_CLAIMS;Enforce colonial claim;;Koloniale Ansprüche druchsetzen;;;;;;;;x
COLONY_TENSION_DRIFT;Drift: §Y$VAL$§!;;Veränderung: §Y$VAL$§!;;;;;;;;x
COLONY_IN_CRISIS;Currently involved in colonial crisis;;Derzeit in einer kolonialen Krise involviert.;;;;;;;;x
