Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
activate_disunited_kingdom_title;Activate Disunited Kingdom Decisions;;;;Activar Decisiones del Reino Desunido;;;;;;;;
activate_disunited_kingdom_desc;This decision shows all optional decisions related to a 'Disunited Kingdom'. As with other setting decisions, they will go away January 1, 1837.\n\n§RUse these decisions at your own risk! They definitely have the potential to break flavor...§!;;;;Esta decisión muestra todas las decisiones opcionales relacionadas con un 'Reino DesUnido'. Al igual que con otras decisiones de ajustes, desaparecerá el 1 de enero de 1837.\n\n§RUsa estas decisiones bajo tu propio riesgo! Definitivamente tienen el potencial de romper el 'flavor'...§!;;;;;;;;;
deactivate_disunited_kingdom_title;Deactivate Disunited Kingdom Decisions;;;;Desactivar Decisiones del Reino Desunido;;;;;;;;;
deactivate_disunited_kingdom_desc;This decisions hides all optional decisions related to a 'Disunited Kingdom'. As with other setting decisions, they will go away January 1, 1837.;;;;Esta decisión oculta todas las decisiones opcionales relacionadas con un 'Reino DesUnido'. Al igual que con otras decisiones de ajustes, desaparecerá el 1 de enero de 1837.;;;;;;;;;
disunited_kingdom_release_CAN_title;Disunited Kingdom: Release Canada;;;;Reino Desunido: Liberar Canadá;;;;;;;;;
disunited_kingdom_release_CAN_desc;Release Canada and all Canadian minors from the UK.;;;;Libera Canadá y a todos sus estados del Reino Unido.;;;;;;;;;
disunited_kingdom_play_CAN_title;Disunited Kingdom: Play Canada;;;;Reino Desunido: Juega como Canadá;;;;;;;;;
disunited_kingdom_play_CAN_desc;Plays as Canada!;;;;¡Juega como Canadá!;;;;;;;;;
disunited_kingdom_release_IRE_title;Disunited Kingdom: Release Ireland;;;;Reino Desunido: Libera Irlanda;;;;;;;;;
disunited_kingdom_release_IRE_desc;Released Ireland from the UK. §RIf you want to play as Ireland, Scotland or Wales, I would suggest releasing all three of them before clicking the 'play' decision§!.;;;;Libera Irlanda del Reino Unido. §Si deseas jugar como Irlanda, Escocia o Gales, sugiero liberar a los tres antes de clickear la opción para Jugar§!.;;;;;;;;;
disunited_kingdom_play_IRE_title;Disunited Kingdom: Play Ireland;;;;Reino Desunido: Juega como Irlanda;;;;;;;;;
disunited_kingdom_play_IRE_desc;Plays as Ireland!;;;;¡Juega como Irlanda!;;;;;;;;;
disunited_kingdom_release_SCO_title;Disunited Kingdom: Release Scotland;;;;Reino Desunido: Libera Escocia;;;;;;;;;
disunited_kingdom_release_SCO_desc;Released Scotland from the UK. §RIf you want to play as Ireland, Scotland or Wales, I would suggest releasing all three of them before clicking the 'play' decision§!.;;;;Libera Escocia del Reino Unido. §Si deseas jugar como Irlanda, Escocia o Gales, sugiero liberar a los tres antes de clickear la opción Jugar§!.;;;;;;;;;
disunited_kingdom_play_SCO_title;Disunited Kingdom: Play Scotland;;;;Reino Desunido: Juega como Escocia;;;;;;;;;
disunited_kingdom_play_SCO_desc;Plays as Scotland!;;;;¡Juega como Escocia!;;;;;;;;;
disunited_kingdom_release_WHA_title;Disunited Kingdom: Release Wales;;;;Reino Desunido: Libera Gales;;;;;;;;;
disunited_kingdom_release_WHA_desc;Released Wales from the UK. §RIf you want to play as Ireland, Scotland or Wales, I would suggest releasing all three of them before clicking the 'play' decision§!.;;;;Libera Gales del Reino Unido. §Si deseas jugar como Irlanda, Escocia o Gales, sugiero liberar a los tres antes de clickear la opción Jugar§!.;;;;;;;;;
disunited_kingdom_play_WHA_title;Disunited Kingdom: Play Wales;;;;Reino Desunido: Juega como Gales;;;;;;;;;
disunited_kingdom_play_WHA_desc;Plays as Wales!;;;;¡Juega como Gales!;;;;;;;;;
disunited_kingdom_release_SAF_title;Disunited Kingdom: Release South Africa;;;;Reino Desunido: Libera Sudáfrica;;;;;;;;;
disunited_kingdom_release_SAF_desc;Release South Africa from the UK.;;;;Libera Sudáfrica del Reino Unido.;;;;;;;;;
disunited_kingdom_play_SAF_title;Disunited Kingdom: Play South Africa;;;;Reino Desunido: Juega como Sudáfrica;;;;;;;;;
disunited_kingdom_play_SAF_desc;Plays as South Africa!;;;;¡Juega como Sudáfrica!;;;;;;;;;
disunited_kingdom_release_AST_title;Disunited Kingdom: Release Australia;;;;Reino Desunido: Libera Australia;;;;;;;;;
disunited_kingdom_release_AST_desc;Release Australia from the UK.;;;;Libera Australia del Reino Unido.;;;;;;;;;
disunited_kingdom_play_AST_title;Disunited Kingdom: Play Australia;;;;Reino Desunido: Juega como Australia.;;;;;;;;;
disunited_kingdom_play_AST_desc;Plays as Australia!;;;;¡Juega como Australia!;;;;;;;;;
disunited_kingdom_release_NZL_title;Disunited Kingdom: Release New Zealand;;;;Reino Desunido: Libera Nueva Zelanda;;;;;;;;;
disunited_kingdom_release_NZL_desc;Release New Zealand from the UK.;;;;Libera Nueva Zelanda del Reino Unido.;;;;;;;;;
disunited_kingdom_play_NZL_title;Disunited Kingdom: Play New Zealand;;;;Reino Desunido: Juega como Nueva Zelanda;;;;;;;;;
disunited_kingdom_play_NZL_desc;Plays as New Zealand!;;;;¡Juega como Nueva Zelanda!;;;;;;;;;
