#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME34628;The García Ortiz-Mangabeira Treaty;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
EVTDESC34628;Ever since our declaration of independence, our borders with the neighboring Brazilians have not been delineated through any treaty. The resident minister of Brazil in $COUNTRY$, Enéas Martins, is on a special mission in $CAPITAL$, to meet with the Minister of Foreign Affairs, Alfredo Vásquez Cobo, to delineate a treaty to settle the border issue. The treaty would establish the border from the Rio Negro northwestward along the Amazon River-Orinoco watershed divide, then generally southward along various river courses and straight-line segments to the mouth of the Apaporis River. This would effectively mean the Marabitanas province will end up part of Brazil, though signing the treaty can positively affect our image internationally.;;;;;;;;;;;;;;;;;;;;;;;;;x
EVT34628OPTA;Let this be a sign of friendship and cooperation between our countries.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
EVT34628OPTB;We will never cede an inch of $COUNTRY_ADJ$ territory.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
EVTNAME34627;The Fate of the Großherzogtum Hessen;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC34627;After coming out victorious from the German Brother´s War, we decided that uniting all North German states under one flag would be the next logical step towards German unification. One cultural demarcation between north and south has always been the Main river, so it would make sense to declare it as the southern border of the North German Confederation. But that would also mean splitting the Grand Duchy of Hesse in two, taking the Hessian hinterland tightly under our sphere of influence, whilst leaving the rest as one of the last remaining German minors.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA34627;No, we´ll annex the entire Grand Duchy.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB34627;Yes, the Main river shall be our southern border.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTC34627;Let´s wait, it won´t be long until we unite all of Germany anyway.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME34625;The end of the Peru–Bolivian Confederation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC34625;The short-lived idea of a confederation in the Andes has failed after just a few years. The confederation was exposed to multiple threats from outside forces as well as from within. The Peruvians declared the dissolution of the Confederation and the merging of the Northern and Southern Peruvian Republics into a single state to be called Peru that should exist separately from Bolivia.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVT34625OPTA;What a pity. Larga vida a Bolivia!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME34626;The end of the Peru–Bolivian Confederation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC34626;The short-lived idea of a confederation in the Andes has failed after just a few years. The confederation was exposed to multiple threats from outside forces as well as from within. We declared the dissolution of the Confederation and the merging of the Northern and Southern Peruvian Republics into a single state to be called Peru that should exist separately from Bolivia. The fight for independence has weakened our forces and our northern neighbours rushed in like a pack of greedy vultures and took control of disputed territories.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVT34626OPTA;They are gonna pay for these spineless actions. Larga vida a Peru!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME24602;The Corumba Sale;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC24602;The Bolivians have come forward to us with an offer. We have the option to acquire some territories in northern and eastern Bolivia. They believe these areas to be rather useless, however you never know what riches the Amazon could hide.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVT24602OPTA;Let´s do it.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVT24602OPTB;We´ll have to politely decline this offer.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVT24602OPTC;How dare them offer us this useless strips of land!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME34618;Swiss Rejection;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34618;The narrowminded Swiss rejected our accommodating offer for compromise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34618;That can only mean war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34619;Swiss Acceptance;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34619;We are pleased to hear that the Swiss accepted our offer.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34619;We welcome our new brethren in Schaffhausen into our glorious nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34617;Prussian Demand for Compensation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34617;The Prussians are willing to give up their claims in Neuchatel, but are in return looking for some territorial compensations. They want our territories north of the Rhine, which would include the whole canton of Schaffhausen and some other minor border corrections. The loss of territory would be a blow to the Swiss Conderacy, however in return the Prussians would pay us for the lost land and from now on respect Swiss neutrality.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34617;Prussia won´t get an acre of Swiss land!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB34617;If this is what it takes to preserve Swiss neutrality.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC34615;We´ll give up our claim in Neuchatel, but we want some territorial compensation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT952514OPTC;We´ll keep the Venlo fort, the Dutch can have the rest.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME900661;Berlin Conference;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC900661;We gained another access to the black sea in the Dobruja, so the Russians demand that we return the territory that we gained after the Crimean War.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT900661OPTA;Of course we comply, the Russians are our friends!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gdwar;Second Schleswig War;;;;;;;;;;;;;;;;;;;;;;;;;x
gdwar_desc;Liberate the duchies of Schleswig and Holstein from Danish rule.;;;;;;;;;;;;;;;;;;;;;;;;;x
gdwar_short;Liberate the two duchies;;;;;;;;;;;;;;;;;;;;;;;;;x
gdwar_setup;Liberate Schleswig and Holstein from the Danes.;;;;;;;;;;;;;;;;;;;;;;;;;x
treaty_of_bogota2_title;García Ortiz-Mangabeira Treaty;;;;;;;;;;;;;;;;;;;;;;;;;x
treaty_of_bogota2_desc;Ever since the Brazilian declaration of independence, some our borders in the far north have not been delineated through international treaties. The ownership of several place in the amazon rainforest is not clear and claims proliferate, which can eventually lead to armed conflict. We lack a treaty with the Colombians delineating our borders and, while they are the de facto owners of the Marabitana province, old Portuguese forts and presence of Brazilian laborers looking for rubber in the region entitles us to ownership of the area. The Marabitana fort itself was founded by the Portuguese, though it fell in disrepair. We can send the resident minister Enéas Martins on a special mission to Bogotá, to meet with the Minister of Foreign Affairs, Alfredo Vásquez Cobo, to delineate a treaty with the Colombians that might give us Marabitanas. If they refuse our treaty, we will still have our claims, and we will have to enforce it through war.;;;;;;;;;;;;;;;;;;;;;;;;;x
corumba_sale_title;Sale of Corumba;;;;;;;;;;;;;;;;;;;;;;;x;;;;
corumba_sale_desc; We´re currently holding a lot of untapped, probably useless lands. Our neighbours in Brazil howerver have shown a lot of interest for these areas, maybe we can use this to our advantage and improve our relation with them whilst also earning some money.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
restore_crimea_title;Restore Crimea;;;;;;;;;;;;;;;;;;;;;;;x;;;;
restore_crimea_desc;Now that the Crimean peninsula is back under our rule, we should give it back its proper Slavic names.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
force_austria_to_join_title;Force the German Question;;;;;;;;;;;;;;;;;;;;;;;x;;;;
force_austria_to_join_desc;Now that Austria is in our sphere of influence it is time to force a greater answer to the German Question.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
lease_bergen_title;Lease of Bergen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
lease_bergen_desc;Our relations with the United Kingdom have deteriorated and a war might be just over the horizon. To put us in advantage we should acquire a naval base closer to the British Isles. Thankfully we could ask the Norwegians, our friend and ally in the North Sea, if they would lease us the former Hanseatic city of Bergen. This would put us strategically closer to the Heart of the British Naval Forces at Scapa Flow and we could hit them were it really hurts. Of course this decision will anger the Brits.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
annex_kalisz_title; Annexation of Kalisch;;;;;;;;;;;;;;;;;;;;;;;x;;;;
annex_kalisz_desc; After the Vienna Congress the City of Kalisz was given to the Russians, even though parts of the city lie on the left side Prosna river which forms part of the border. Because of its close proximity to the German border and interconnectedness with the province Posen integration into the German Empire should be relatively easy.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11011;Germany ask for the Lease of Bergen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11011;The Great Power´s game of Poker brought us in the unfortunate position, where we have to choose a side. The Germans demanded that we lease them the City of Bergen, to give them a strategic advance over the British. If we allow the Germans to lease Bergen the British will be angered, if not the Germans might just take what they want anyway, so we have to way our options and choose wisely.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA11011;Agree to the Lease.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB11011;We´re not a Banana Republic!;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME22022;Norway will lease Bergen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC22022;Norway decided to lease Bergen. This is great news. Even if the Brits should try to attack us, we´re going to be victorious.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA22022;Great!;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME33033;Norway will lease Bergen to Germany;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC33033;The Norwegians decided to lease Bergen. This puts us in a bad position and we should act quickly.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA33033;There will be consequences!;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME44044;Norway will not lease Bergen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA44044;There will be consequences!;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC44044;The Norwegians are not going to lease Bergen to us. Norway is going to face the consequences for this response.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME55055;Norway will not lease Bergen to Germany;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC55055;The Norwegians are not going to lease Bergen to Germany. Should the Germans try to act, we´ll defend Norway.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA55055;Great!;;;;;;;;;;;;;;;;;;;;;;;x;;;;
germanize_crimea_title;Germanize Crimea;;;;;;;;;;;;;;;;;;;;;;;x;;;;
germanize_crimea_desc;After acquiring Crimea, we should germanize the names, to show the world who´s ruling the peninsula now.;;;;;;;;;;;;;;;;;;;;;;;;;;;x
pressburg_rename_ger_title;Bratislava, Prešporok, Pressburg, Pozsony;;;;;;;;;;;;;;;;;;;;;;;x;;;;
pressburg_rename_ger_desc;The city received its contemporary name in 1919. Until then, it was mostly known in English by its German name, Pressburg, since after 1526 it was dominated mostly by the Habsburg Monarchy and the city had a relevant ethnic-German population. That is the term from which the pre-1919 Slovak (Prešporok) name is derived. The city's Hungarian name, Pozsony, was given after the castle's first castellan, "Poson". The origin of the name is unclear. During the revolution of 1918–1919, the name 'Wilsonov' or 'Wilsonstadt' (after President Woodrow Wilson) was proposed by American Slovaks, as he supported national self-determination. The name Bratislava, which had been used only by some Slovak patriots, became official in March 1919 with the aim that a Slavic name could support the demands that the city should be part of Czechoslovakia.;;;;;;;;;;;;;;;;;;;;;;;;;;;x
protocol_of_chuguchak_title;Protocol of Chuguchak;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
protocol_of_chuguchak_desc;With the Qing Empire weakened we can now further expand our empire at their cost in the Far East and Central Asia.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_nm_title;Annex Neutral Moresnet;;;;;;;;;;;;;;;;;;;;;;;x;;;;
annex_nm_desc;Now that we control both sides of the Neutral territory of Moresnet, we can annex it.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
annex_cm_title;Annex Couto Misto;;;;;;;;;;;;;;;;;;;;;;;x;;;;
annex_cm_desc;As a result of complex medieval manorial relations, Couto Misto eluded both Portuguese and Spanish control for centuries, actually operating as a sovereign state in its own right until the 1864 Treaty of Lisbon that partitioned the territory between Spain which annexed most of the land including the three villages and Portugal which remained with a smal uninhabitedl strip of land. As a de facto independent country, the inhabitants of the Couto Misto had many privileges, including exemption from military service and taxes, and could grant asylum to outsiders and deny access to any foreign military contingent.;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC90059;Now that the lands of Schleswig and Holstein are no longer ruled by the Danish, the northern border should be finalised.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT90059OPTA;Sleswig-Holsten, up ewig ungedeelt.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34620;The New Franco-German Border;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34620;After winning a decisive Victory against the French the German High Command decided to push the border further westward. But now the question is should we annex all of Lorraine or should we rather go for a strategic border on the Meuse and Moselle river.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34620;Let´s keep all of Lothringen!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB34620;A strategically placed border on Maas and Mosel seems like the better option.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME90150;The Schleswig-Holstein Question resolved.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90150;After a quick and decisive war against the Danish the question about the two German speaking duchies are now firmly in our sphere of influence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,, 
EVT90150OPTA;Sleswig-Holsten, up ewig ungedeelt.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
lurish;Lurish;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
khmu;Khmu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
maas_to_memel_title;Von der Maas bis an die Memel;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
maas_to_memel_desc;Now that we control all of Wallonia it is time to finalize the administrative details.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
french_borderlands_title;Rename Belfort and Charleville;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
french_borderlands_desc;Now that Belfort and Charleville are French again they should have there French names again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_heligoland_question2_title;Helgoland is finally ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
