RALLY_POINT_NAVY_MERGE_INFO;Enable or Disable navies merging at destination.\n(Ships will merge with largest unit here.);Active ou désactive la fusion des flottes arrivant à destination.\n(Les navires s'intègrent à la plus grande flotte s'y trouvant déjà);Aktiviert oder deaktiviert das Vereinigen von Schiffen am Zielpunkt.\n(Schiffe werden sich hier mit der größten Einheit vereinigen.);;;;;;;;;;;x
RALLY_POINT_NAVY_PROVINCE_MERGE_INFO;All naval units will merge with largest unit when arrive here.;Toutes les unités navales fusionneront avec la plus grande à leur arrivée ici.;Alle Schiffe werden hier mit der größten Einheit vereinigt.;;;;;;;;;;;x
BUDGET_INTERNALLY_SOLD_STOCKPILE;Stockpile sold to construction projects: §Y$VAL$§!;Stock vendu pour les projets de construction : §Y$VAL$§!;An Bauprojekte verkaufter Vorrat: §Y$VAL$§!;;;;;;;;;;;x
OL_VIEW_RALLYPOINTS_NAVY_TOOLTIP;All nearby constructed ships will head towards §Y$PROV$§!;Tous les navires construits à proximité se dirigeront vers §Y$PROV$§!;Alle in der Nähe gebauten Schiffe werden nach §Y$PROV$§! aufbrechen.;;;;;;;;;;;x
OL_VIEW_RALLYPOINTS_NAVY_MERGE_TOOLTIP; and will try to merge with largest unit when arrive here.; et tenteront de fusionner avec la plus grande unité à leur arrivée.;und werden versuchen sich dort mit der größten Einheit zu vereinigen.;;;;;;;;;;;x
ARMY_SPLIT_AND_LOAD_DESC_1;§Y$UNIT$§! will be split between §G$NUM$§! ship(s):;§Y$UNIT$§! sera répartie entre §G$NUM$§! flotte(s):;§Y$UNIT$§! wird auf §G$NUM$§! Flotte(n) aufgeteilt:;;;;;;;;;;;x
ARMY_SPLIT_AND_LOAD_DESC_2; - §Y$NAVY$§! ($NUM$ weight); - §Y$NAVY$§! (Capacité d'embarquement : $NUM$ unités); - §Y$NAVY$§! (Ladevermögen: $NUM$ Brigaden);;;;;;;;;;;x
ARMY_SPLIT_AND_LOAD_DESC_3;§RThe remaining army of total weight ($NUM$) will not be loaded.§!;§RLe reste de l'armée ($NUM$ unités) ne sera pas embarqué.§!;§RDie verbleibenden Truppenteile ($NUM$ Brigaden) werden nicht verladen.§!;;;;;;;;;;;x
UW_NOT_POSSIBLE_TO_ATTACH;There are no friendly units here to attach to.;Il n'y a pas d'unités amies auxquelles on peut se joindre.;Hier gibt es keine befreundete Einheiten, denen Sie sich anschließen können.;;;;;;;;;;;x
UW_UNITS_ATTACHED;The following units are attached.;Les unités suivantes se sont jointes.;Die folgenden Einheiten haben sich angeschlossen.;;;;;;;;;;;x
UW_ATTACH_TO;Attach to always follow $NAME$.;Se joindre à l'unité suivante : $NAME$.;Folgender Einheit anschließen: $NAME$.;;;;;;;;;;;x
UW_DETACH_FROM;Detach from following $NAME$.;Se détacher de l'unité suivante : $NAME$.;Von folgender Einheit lösen: $NAME$.;;;;;;;;;;;x
IW_SUPPLY_COST;You need §Y$VAL$§W¤ every day to pay for supplies of this unit.;Vous avez besoin chaque jour de §Y$VAL$§W ¤ pour la maintenance de cette unité.;Sie benötigen jeden Tag §Y$VAL$§W¤ um den Unterhalt dieser Einheit zu finanzieren.;;;;;;;;;;;x
HAS_NOT_CULTURE_CORE;$CUL$ is NOT a core-culture of $WHERE$.\n;$CUL$ n'est PAS une culture de base de $WHERE$.\n;$CUL$ ist KEINE Kernkultur von $WHERE$.\n;;;;;;;;;;;x
HAS_CULTURE_CORE;$CUL$ is a core-culture of $WHERE$.\n;$CUL$ est une culture de base de $WHERE$.\n;$CUL$ ist eine Kernkultur von $WHERE$.\n;;;;;;;;;;;x
PROMOTION_EFFECT_FROM_ADMIN;Admin. efficiency effect on promotion speed: §Y$PERCENTAGE$§!;Influence de l'efficacité administrative sur la vitesse de promotion : §Y$PERCENTAGE$§!;Einfluss der Verwaltungseffizienz auf die Beförderungsgeschwindigkeit: §Y$PERCENTAGE$§!;;;;;;;;;;;x
OUTLINER_TOOLTIP_FACTORY_OCCUPANCY;Local factories employment: $PERC$;Niveau de l'emploi dans les usines locales : $PERC$;Beschäftigungsgrad in den lokalen Fabriken: $PERC$;;;;;;;;;;;x
REVOLTALLIANCE_LOG;A revolution! Our alliance is broken!;Une révolution ! Notre alliance est rompue!;Eine Revolution! Unser Bündnis ist gekündigt!;;;;;;;;;;;x
tut_5b_12b;Click on the decisions tab to continue.;Cliquez sur l'onglet Décisions pour continuer;Drücken Sie auf den Entscheidungs Reiter um fortzufahren.;;;;;;;;;;;x
tut_5b_14b;Click on the movements tab to continue.;Cliquez sur l'onglet Mouvements pour continuer;Drücken Sie auf den Bewegungs Reiter um fortzufahren.;;;;;;;;;;;x
Workforce;Workforce;Main-d'oeuvre;Arbeitskräfte;;;;;;;;;;;x
Ideology;Ideology;Idéologie;Ideologie;;;;;;;;;;;x
SELL;SELL;VENDRE;VERKAUFE;;;;;;;;;;;x
BUY;BUY;ACHETER;KAUFE;;;;;;;;;;;x
Start Research;Start Research;Commencer la recherche;Beginne Forschung;;;;;;;;;;;x
Maneuver;Maneuver;Manœuvre;Manöver;;;;;;;;;;;x
LEDGER;LEDGER;STATISTIQUES;Statistiken;;;;;;;;;;;x
OK;OK;D'accord;OK;;;;;;;;;;;x
