Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
form_iberia_title;Create the Iberian Union;;;;;;;;;;;;;
form_iberia_desc;§RGain 15 infamy§! In order to better manage the Iberian peninsula, we will unify the nations of Spain and Portugal into one Iberian Union. Although such a drastic change in administration will result in chaos in the Spanish and Portuguese colonial empire.;;;;;;;;;;;;;
macau_transfer_title;Transfer Macau into $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
macau_transfer_desc;In several ports, like Macau, local garrisons and sailors were able to preserve order during the colonial upheaval that followed the creation of the Iberian state. While most ports have been transferred to $COUNTRY_ADJ$ control, Macau has yet been properly transferred to the proper authorities.;;;;;;;;;;;;;
austrian_outside_italy_title;Organize Italy under strict Austrian Supervision;;;;;;;;;;;;;
austrian_outside_italy_desc;§RGain 15 infamy§! As Metternich said, "Italy is a geographical expression." That being said, it's an expression of strategic importance to $COUNTRY$. With the peninsula under our thumb, it might be time to reorganize the duchies and republics of Italy into more manageable kingdoms. We will also be able to cement our authority over Venice.;;;;;;;;;;;;;
EVTDESC72758;\n\nThe Austrians have recently been drawing lines in Italy, and have with no justification or legal claim included Corsica in the domain of Sardinia.;;;;;;;;;;;;;
EVTDESC72757;\n\nIt would seem that our supervision was not as strict as planned. During the redrawing of Italian borders, the finalized map of the new Italian vassals included the island of Corsica within the territorial bounders of Sardinia. While this detail went unnoticed by $COUNTRY_ADJ$ officials, it has grabbed the attention of the French. Infuriated, France has demanded an immediate explanation followed by an apology from $COUNTRY$ over the actions of their vassal. Some believe that $COUNTRY$ should apologize and scold Sardinia. The island's stupidity may very well lead to war. Others believe Vienna should stand by its vassals no matter the circumstances.;;;;;;;;;;;;;
FRA_SRD_claim_rebuke_title;Rebuke Sardinian Claims on Corsica.;;;;;;;;;;;;;
FRA_SRD_claim_rebuke_desc;After defeating the Sardinians in the latest war, France may finally correct the Sardinian Border Blunder caused by the Austrian imbeciles.;;;;;;;;;;;;;
EVTDESC72754;Although $COUNTRY$ has tried to control the Italian peninsula through the creation of Lombardy, Sicily, and the Papal rump state, the fires of Italian nationalism continue to burn. Many in Vienna are of the opinion that an unified Italy is impossible to avoid, and it is best that the Italian state be created peacefully through $COUNTRY_ADJ$ guidance rather through a bloody revolution. Others argued that a unified Italy will quickly grow out of our control. Either way a decision must be reached on what to do with Italy. The question then arises who shall rule the Italy. Should it be Lombardy in the north? Perhaps the legacy of Austrian rule in Milan will result in a loyal and capable subject? On the other hand, the rulers of Sicily were once of Habsburg blood, and it could be wise to keep things in the family. There are some who say the crown should to neither the Lombards nor the Sicilians, but rather the Holy Father himself in Rome. And of course there are those boring old sods who want to keep the status quo.;;;;;;;;;;;;;
AUS_italy_crown_title;The Question of the Italian Crown;;;;;;;;;;;;;
AUS_italy_crown_desc;The time has come for $COUNTRY$ to face the growing tide of nationalism that has swept through the Italian peninsula. The crisis is coming to a head and a decision must be made on the future of Italy.;;;;;;;;;;;;;
csa_texas_title;Recognize Texan Independence;;;;;;;;;;;;;
csa_texas_desc;§GLose 5 infamy§! Some believe it would be rather hypocritical for the Confederacy, a nation founded on the ideals of state rights, to infringe upon the sovereignty of Texas.;;;;;;;;;;;;;
outside_SCA_title;Form Scandinavia;;;;;;;;;;;;;
outside_SCA_desc;§RGain 10 infamy§! With the Nordic states under our control, it might be time to recreate the Kalmar Union of old. A strong king in the North means a strong ally.;;;;;;;;;;;;;
outside_SCA_FIN_title;Unify Finland with Scandinavia;;;;;;;;;;;;;
outside_SCA_FIN_desc;It is only sensible that we join Finland with Scandinavia.;;;;;;;;;;;;;
outside_SCA_EST_title;Unify Estonia with Scandinavia;;;;;;;;;;;;;
outside_SCA_EST_desc;The Estonian's have petitioned to join Scandinavia. Perhaps we should indulge them.;;;;;;;;;;;;;
outside_SCA_KRL_title;Unify Karelia with Scandinavia;;;;;;;;;;;;;
outside_SCA_KRL_desc;It is for the best for Karelia to join Scandinavia.;;;;;;;;;;;;;
sacramento_austin_pact_title;The Sacramento-Austin Pact;;;;;;;;;;;;;
sacramento_austin_pact_desc;§RGain 10 infamy§! $COUNTRY$ is finally free from eastern oppression. The great states of Texas and California should join hands in taming the West...at the expense of the Mexicans and Mormons.;;;;;;;;;;;;;
PAP_restore_title;Restore the Pope Back onto His Holy Throne;;;;;;;;;;;;;
PAP_restore_desc;Now that order is restored in the Papal States, we can place his Majesty the Pope back onto his throne so he can continue the Lord's work. ;;;;;;;;;;;;;
EVTDESC72751;At the expense of most of their colonial possessions, the Iberian Peninsula is under firm $COUNTRY_ADJ$ control. While the most obvious choice is to have Iberia ruled by the Spanish majority and governed in the centrally located city of Madrid, there are arguments to be made in favor of the peninsula's other nationalities. In contrast to Spanish who were facing revolts both Carlist and colonialist alike, Portugal has experienced relative stability. Perhaps they would be better fit to administer Iberia? On the other side of the peninsula are the Catalans. The best way to quell their nationalistic tendencies might to give them a nation look after. There are some who argue that to exert control, the ruling elite must be kept to small minority and have therefore recommended the Basque. One more thing to note, is a letter has recently been received petitioning for the Galicians although this might be some sort of practical joke.;;;;;;;;;;;;;
