Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
greater_rio_grande_title;Greater Rio Grande;;;;;;;;;;;;;
greater_rio_grande_desc;With our independence from the Centralist government secured, we must strive to expand our reach to the other areas in northern Mexico clamoring for the return of Federalism. We will take them by force if necessary.;;;;;;;;;;;;;
MEX_2142;Chihuahua;;;;;;;;;;;;;
EVTNAME37299;The Colony of Libreville;;;;;;;;;;;;;
EVTDESC37299;Ever since the abolishment of slavery the African population of our country would flock back to the African continent is search of better life and/or freedom. One of the examples of this process is the free colony of Libreville set on the shores of Africa. We might want to take advantage of this and establish a colonial rule there as a long-term investment, or leave the people to their deserved freedom.;;;;;;;;;;;;;
EVTNAME1000100;Should We Ask USA For Help?;;;;;;;;;;;;;
EVTDESC1000100;The perspective of our war against Mexico doesn't look too bright. They outnumber us and our independence is only a matter of time. Maybe we could ask our neighbour for help against the Mexicans?;;;;;;;;;;;;;
EVTNAME1000101;Texas Calls For Help;;;;;;;;;;;;;
EVTDESC1000101;A diplomat from Texas has reached us with worrying news. Their rights are being violently taken from them and they have turned to us looking for help. Should we lend our helping hand to our fellow Americans?;;;;;;;;;;;;;
EVTNAME1000200;The New Protector of Eastern Christians;;;;;;;;;;;;;
EVTDESC1000200;Now that we are powerful enough to hold our own, an important matter rose up regarding our role in the Eastern Christendom. It is a well known fact that the Byzantine Empire for a long time was the center of the Orthodox Church and the Eastern Christendom as a whole. Sadly, we've lost our authority and power due to numerous wars and raids and our title as the protector was taken by an another powerful Orthodox nation known as the Russian Empire. We are glad that they've been doing our work for centuries now, but it's time that we take this title back since it's supposed to be us that should protect the Eastern Christians.;;;;;;;;;;;;;
EVTNAME1000201;The Orthodox Question;;;;;;;;;;;;;
EVTDESC1000201;We've been notified that the newly restored Byzantine Empire seeks to recaim its title as the Orthodox Protector. We've taken their duty to continue protecting the Eastern Christendom as a powerful nation within it. Should we stand down and give the title back to its original owner, or should we hold onto it?;;;;;;;;;;;;;
EVTNAME1000202;The Russian Empire refused!;;;;;;;;;;;;;
EVTDESC1000202;The fools of The Russian Empire refuted our rightfull claim on the title of the Orthodox Protector. The title is ours by definition and they will pay for denying us our claim.;;;;;;;;;;;;;
EVTNAME1000203;The Russian Empire accepted!;;;;;;;;;;;;;
EVTDESC1000203;As we expected, the Russians complied and offered back the title of Eastern Protectors. This is a joyous day for the mighty Empire!;;;;;;;;;;;;;
EVTNAME1000204;The War is Won!;;;;;;;;;;;;;
EVTDESC1000204;We have proven in battle that we are truly worth the title we were fighting for. The Russian Empire will have to agree to our demands and our position in the Eastern Christendom will be restored.;;;;;;;;;;;;;
EVTNAME1000205;The War is Lost!;;;;;;;;;;;;;
EVTDESC1000205;We have lost the war and forever lost the right to call ourselves the Protectors of Eastern Christendom. The new title owners have proven themselves to be more suitable for this role and we'll have to set our sights elsewhere.;;;;;;;;;;;;;
EVTNAME1000300;Proposition for a new capital;;;;;;;;;;;;;
EVTDESC1000300;With our kingdom united once again suggestions started appearing about changing our capital to better suit the united country. Should we change it to a more suitable place or keep things as they are?;;;;;;;;;;;;;
byzantine_anatolia_title;Byzantine Anatolia;;;;;;;;;;;;;
byzantine_anatolia_desc;We should restore the proper names of Anatolian provinces.;;;;;;;;;;;;;
restore_anatolia_title;Restore Anatolia;;;;;;;;;;;;;
restore_anatolia_desc;We returned Anatolia under Turkish rule and should return the respective names for its provinces.;;;;;;;;;;;;;
byzantine_armenia_title;Byzantine Armenia;;;;;;;;;;;;;
byzantine_armenia_desc;The return of Armenian lands should be accompanied with the restoration of their proper names.;;;;;;;;;;;;;
restore_armenia_not_TUR_title;Restore Armenia;;;;;;;;;;;;;
restore_armenia_not_TUR_desc;We should restore the Armenian names to the reclaimed provinces.;;;;;;;;;;;;;
restore_armenia_TUR_title;Restore Armenia;;;;;;;;;;;;;
restore_armenia_TUR_desc;We returned our Armenian lands and should restore their proper names.;;;;;;;;;;;;;
byzantine_levant_title;Byzantine Levant;;;;;;;;;;;;;
byzantine_levant_desc;Levant is ours and its province names should be restored to respective old names.;;;;;;;;;;;;;
restore_levant_title;Restore Levant;;;;;;;;;;;;;
restore_levant_desc;Levant is returned and the names of its provinces should be restored.;;;;;;;;;;;;;
byzantine_egypt_title;Byzanine Egypt;;;;;;;;;;;;;
byzantine_egypt_desc;Aegyptus has been returned and should be assigned proper province names of old.;;;;;;;;;;;;;
byzantine_cyrenaica_title;Byzantine Cyrenaica;;;;;;;;;;;;;
byzantine_cyrenaica_desc;While we advance West we could restore the original names of the provinces of Cyrenaica.;;;;;;;;;;;;;
byzantine_tripolitania_title;Byzantine Tripolitania;;;;;;;;;;;;;
byzantine_tripolitania_desc;The Province of Tripolitania should be assigned its proper name as well as its cities.;;;;;;;;;;;;;
byzantine_tunis_title;Byzantine Tunisia;;;;;;;;;;;;;
byzantine_tunis_desc;The lands of Carthage is ours, and as a symbol of our victory we should assign proper Roman names to its cities.;;;;;;;;;;;;;
declare_lusotropicalism_title;Declare Lusotropicalism;;;;;;;;;;;;;
declare_lusotropicalism_desc;Lusotropicalism was first used by a Brazilian sociologist Gilberto Freyre to describe the distinctive character of Portuguese imperialism overseas, proposing that the Portuguese were better colonizers than other European nations. It was believed that because of Portugal's warmer climate, and having been inhabited by Celts, Romans, Visigoths, Moors and several other peoples in pre-modern times, the Portuguese were more humane, friendly, and adaptable to other climates and cultures.;;;;;;;;;;;;;
integrate_pueblo_title;Integrate Pueblo Indians;;;;;;;;;;;;;
integrate_pueblo_desc;The time has come to integrate the Pueblos in the north into the fabric of our country.;;;;;;;;;;;;;
integrate_texans_title;Integrate the Texans;;;;;;;;;;;;;
integrate_texans_desc;The Texans have a similar culture to us and share history with us and now that the Americans have shown that they can't protect them the Texans will have to call their state Tejas and realize that they are infact Mexicans as well.;;;;;;;;;;;;;
integrate_afro_latino_title;Integrate Afro Caribenos;;;;;;;;;;;;;
integrate_afro_latino_desc;The Caribenos have been an integral part of our country for a long time, but their toiling brothers from Africa have yet to be considered such. We will give them the same rights as the Caribenos, even though large parts of the country do not view them as equals.;;;;;;;;;;;;;
integrate_cherokee_title;Integrate Cherokee;;;;;;;;;;;;;
integrate_cherokee_desc;Since our independence, the Cherokee that live within our borders have played an integral role in ensuring our northeastern frontiers remain firmly under our control. Now that we have secured our northern borders and their need as a buffer is gone, we can reward by fully integrating them into the fabric of our country.;;;;;;;;;;;;;
expel_the_cherokee_title;Expel the Cherokee;;;;;;;;;;;;;
expel_the_cherokee_desc;During our war of independence, the Cherokee decided to stay neutral. However, there exists the concern they may conspire behind our backs with the local Tejanos to help Mexico place us under their control again. In addition, they occupy land which we could use to invite more settlers from the United States. They've already dealt with their own native populations by confining them in reservations, which happened to be across our northern border. We should do the same with our own, and send them there as well. They will oppose this, naturally, and even fight us. However, we are confident we will have no problem forcing them to move.;;;;;;;;;;;;;
the_port_of_novorossiysk_title;The Port of Novorossiysk;;;;;;;;;;;;;
the_port_of_novorossiysk_desc;After our conquest of Sudjuk-Kale, an Ottoman port, we've been thinking of rebuilding it to suit our needs an change the name to something more Russian. We'll have to redirect all our naval building efforts in the region towards it.;;;;;;;;;;;;;
aim_of_byzantine_conquest;Aim of Byzantine conquest;;;;;;;;;;;;;
aim_of_byzantine_conquest_desc;This province is the current target of the Byzantine expansion;;;;;;;;;;;;;
RGO_education_1;Local Education 10%;;;;;;;;;;;;;
RGO_education_2;Local Education 20%;;;;;;;;;;;;;
RGO_education_3;Local Education 30%;;;;;;;;;;;;;
RGO_education_4;Local Education 40%;;;;;;;;;;;;;
RGO_education_5;Local Education 50%;;;;;;;;;;;;;
RGO_education_6;Local Education 60%;;;;;;;;;;;;;
RGO_education_7;Local Education 70%;;;;;;;;;;;;;
RGO_education_8;Local Education 80%;;;;;;;;;;;;;
RGO_education_9;Local Education 90%;;;;;;;;;;;;;
RGO_education_10;Local Education 100%;;;;;;;;;;;;;
RGO_education_0;Local Education 0%;;;;;;;;;;;;;
settlement_colony;Settlement Colony;;;;;;;;;;;;;
exploitation_colony;Exploitation Colony;;;;;;;;;;;;;
southern_plantations;Southern Plantations;;;;;;;;;;;;;
ziemia_obiecana_title;Ziemia Obiecana;;;;;;;;;;;;;
ziemia_obiecana_desc;Ziemia Obiecana ("Promised Land") was popular term for the city of Lodz - center of polish industrial revolution which population grew from 1000 in 1827 to 500 000 in 1914.;;;;;;;;;;;;;
ziemia_obiecana;Ziemia Obiecana;;;;;;;;;;;;;
