Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
greater_norway_title;Norgesveldet;;;;;;;;;;;;;
greater_norway_desc;After the rise of romantic nationalism in Norway spanning from 1840 to 1865, the term "Norgesveldet" swept through the country reminding people of how great Norway used to be on the map! We colonized Iceland, we colonized Greenland and legend even has it that we even colonized Newfoundland before anyone else! Sweden robbed us of our past territories and our old deal with Novgorod to split the northern Nordics is invalid as Novgorod no longer exists. It's time to step away from the sidelines and once again become the great power our beautiful country deserves to be! The time has come to re-establish Norgesveldet!;;;;;;;;;;;;;
jemtland_rename_nor_title;Welcome back the people of Jämtland and Bohuslän;;;;;;;;;;;;;
jemtland_rename_nor_desc;The Swedes have been tricking Norwegians living in Jemtland and Båhuslen for too long. Heck, they don't even speak any Swedish, but rather Norwegian! It's time to welcome home our lost brothers in western Sweden who didn't even get Swedish citizenship before 1699 We tried to conquer the province back in 1677 and we were hailed as liberators by all of Jemtland, but the people need not fear anymore, because they're home now!;;;;;;;;;;;;;
iceland_rename_title;Welcome back the North Atlantic islands;;;;;;;;;;;;;
iceland_rename_desc;We've finally taken back what were robbed from us during the "Treaty of Kiel". The Icelanders have been gone from us for too long to keep the Norwegian identity at its fullest but there's still hope for the Faroese who arguably still speak a variant of the "Landsmål Norwegian" ("Nynorsk" today).;;;;;;;;;;;;;
hebrides_rename_nor_title;Welcome back the Isles!;;;;;;;;;;;;;
hebrides_rename_nor_desc;These are territory we've lost during the middle ages. We even colonized them and the Brits have forcefully assimilated OUR people. The people living there may speak English, but they still got our blood and heritage in them! Now let's once again claim the cities in Ireland which WE established and governed in the first place!;;;;;;;;;;;;;
hebrides_rename_eng_title;Welcome back the Isles!;;;;;;;;;;;;;
hebrides_rename_eng_desc;We have finally thrown out the Scandinavian invaders off OUR islands which were honestly conquered through war and purchase!;;;;;;;;;;;;;
jemtland_rename_swe_title;Reconquer Jemtland!;;;;;;;;;;;;;
jemtland_rename_swe_desc;We conquered these provinces thus we have the right to keep them since Denmark-Norway failed to protect their own people!;;;;;;;;;;;;;
newfoundland_rename_title;Welcome back Newfoundland and centralize Labrador;;;;;;;;;;;;;
newfoundland_rename_desc;Technically, we never owned neither Newfoundland nor Labrador but WE discovered it. We discovered the whole continent for damn's sake! We traded and mingled with the natives before England even was a thing! It's about time we reconquered it. Markland is filled with native americans and would never feel Norwegian no matter what we do. We need to banish them and invite Norwegian fishers already living in Canada and promise Norwegians free land and quality of life in Markland.;;;;;;;;;;;;;
kola_rename_nor_title;Welcome back the Kola peninsula;;;;;;;;;;;;;
kola_rename_nor_desc;The Kola peninsula used to be a part of our tax domain but 1326, we signed a treaty with Novgorod splitting the area in 2. We got Finnmark, and they got Kola. Novgorod doesn't exist anymore making the treaty invalid! It's time to finally take back what's ours and improve the fishing industry in the area!;;;;;;;;;;;;;
kola_rename_rus_title;Kola Reclaimed;;;;;;;;;;;;;
kola_rename_rus_desc;We have retaken Kola from the Scandinavians, it is time to reintegrate it...;;;;;;;;;;;;;
KAUTOKEINO;The Kautokeino Uprising of 1852!;;;;;;;;;;;;;
KAUTOKEINODESC;On the 8th of november 1852, 67 Samis lead by Aslak Hætta had rebelled in Kautokeino killing 2 Norwegians and burning down buildings! This was apparently because their family was imprisoned for not meeting up for the obligatory religious service we have kindly provided to them to make them civilized, instead they'd rather listen to the teachings of the controversial heretic, Lars Levi Læstadius who's trying to stop honest Norwegian merchants from selling alcohol to the Sami population. Oh and also, they feel "badly treated" because we're trying to civilize them by giving them our beautiful language and religion. How ungrateful people! Statsminister, what is your stance on this matter? We can implement Sami as a co-language to gain further support, should we ever for some reason conquer Finnish, Swedish or Russian territories.;;;;;;;;;;;;;
ACCEPTSAMI;We need to share the nation with the Kvens and the Samis!;;;;;;;;;;;;;
fornorskningspolitikk;We are actively repressing Sami culture;;;;;;;;;;;;;
sapmi_rename_title;Reclaim the heartland of the Sami people!;;;;;;;;;;;;;
sapmi_rename_desc;After our acceptance of the Sami people, we honor them by naming our 2 new provinces after the Sami language. Afer-all, having Sami has a recognized language would never work if we don't promote them aswell, though if we ever own the Kola peninsula, it would be assigned for the Norwegian people.;;;;;;;;;;;;;
NOR_INDEPENDENCE; The Norwegian monarchy referendum;;;;;;;;;;;;;
NOR_INDEPENDENCE_DESC;Unionsoppløsningen (the dissolving of the union) is finally here! After hundreds of years of oppression, we're finally ready to show the world what we're worthy of, but to do that, we need to establish a government. 74% of our people have voted for a monarchy, the rest voted for republic. Whatever we choose, I think the people will be happy nevertheless!;;;;;;;;;;;;;
NOR_REPUBLIC;Establish a republic for the people! Monarchies have toyed with us for long enough!;;;;;;;;;;;;;
NOR_MONARCHY;A constitutional monarchy to protect both tradition and democracy! (historical);;;;;;;;;;;;;
NOR_ABSOLUTE_MONARCHY;We need a king with firm control to maintain Norway's independence!;;;;;;;;;;;;;
nor_provoke_swe_title;Strengthen the Norwegian military!;;;;;;;;;;;;;
nor_provoke_swe_desc;Karl Johan is already pretty mad the we established 3 brigades of guards but this is not our problem! He began with beginning to break the Moss Convention by giving us less autonomy. This is just our way to defend the Moss Convention. We know that Karl Johan is a fanaticist when it comes to trying to annex us. Denmark's current king was our previous king in 1814 who unfortunately lost the war with us against Sweden. If we contact him, he'd surely help us and if we provoke Sweden to declare war, we could finally get our independence.;;;;;;;;;;;;;
nor_lang_decision_title;Time to take a stance in the language debate;;;;;;;;;;;;;
nor_lang_decision_desc;At the time, we have 3 written languages our people use. The upper class and the politicians uses Danish, the easterners uses Bokmål and the westerners and northerners uses Nynorsk. Our huge dialectal and sociolectal differences makes this hopeless. Our people can barely understand eachother and some can't!;;;;;;;;;;;;;
NOR_LANG;Time has come to decide the main language for Norway;;;;;;;;;;;;;
NOR_LANG_DESC;Ivar Aasen (left) is the spokesperson for his so-called "real Norwegian" being based on the language people in the countryside speak but he especially represents western Norway. Knud Knudsen (right) is the spokesperson for the Danish-influenced Norwegian often spoken by the upper class, the urban population and generally in eastern Norway. Aasen's variant is known as Landsmål/Nynorsk and Knudsen's variant is known as Riksmål/Bokmål. Aasen released his first dictionary in 1848 and Knudsen released his first dictionary in 1862. This is not just a language debate, this is a debate about choosing our identity! By choosing Riksmål, we will express our gratitude over our earlier Danish protectors but still praise our own sovereignity. By choosing Landsmål and moving our capital to our historical capital and most populated city, Bergen where they speak one of the closest dialects to Landsmål, we promote a patriotic and nostalgic style of government;;;;;;;;;;;;;
RIKSMAAL;Knud Knudsen's Riksmål with Danish influence!;;;;;;;;;;;;;
LANDSMAAL;Ivar Aasen's Landsmål with Norse inspiration! (Enables assimilation of the Faroe Islands);;;;;;;;;;;;;
LANDSMAAL_AND_RIKSMAAL;Both is equally Norwegian! (Historical);;;;;;;;;;;;;
newly_standardized_norwegian_neutral;Bilingual Norwegian;;;;;;;;;;;;;
newly_standardized_norwegian;Monolingual Norwegian;;;;;;;;;;;;;
bergen;Fjords;;;;;;;;;;;;;
stavanger;Fjords;;;;;;;;;;;;;
skien;Taiga;;;;;;;;;;;;;
drammen;Taiga;;;;;;;;;;;;;
fredrikstad;Forest;;;;;;;;;;;;;
lillehammer;Taiga;;;;;;;;;;;;;
hamar;Taiga;;;;;;;;;;;;;
alesund;Fjords;;;;;;;;;;;;;
trondheim;Fjords;;;;;;;;;;;;;
bodo;Fjords;;;;;;;;;;;;;
hammerfest;Fjords;;;;;;;;;;;;;
oslo;Taiga;;;;;;;;;;;;;
christiansand;Forest;;;;;;;;;;;;;
istanbul_rename_sca_title;Reshape the destiny of Miklagard!;;;;;;;;;;;;;
istanbul_rename_sca_desc;Our ancestors traded so much in this city during the Viking age that we even gave the city a special name! "Miklagard" meaning "The Big City". Our people would love to make this romantiziced city ours and teach them our ways!;;;;;;;;;;;;;
northern_norway_fin_title;We have conquered northern Norway!;;;;;;;;;;;;;
northern_norway_fin_desc;Even though we've never owned the area, we must free the Kven Finnish minority living in the north of Norway! (They were made into Samis for game balance purposes).;;;;;;;;;;;;;
northern_norway_nor_title;We have reconquered northern Norway from the finns!;;;;;;;;;;;;;
northern_norway_nor_desc;This is not rightful Finnish territory!;;;;;;;;;;;;;
grytviken_title;Lay claim to the south atlantic islands and offer to buy South Georgia!;;;;;;;;;;;;;
grytviken_desc;No one ever lived properly on the South Georgia islands before thousands of brave Norwegian fishers went down there to live the whaling life. They even built a cinema and their own church, but due to British imperialism, the island unfortunately never became ours, but now we have the power to change history but not without diplomatic consequences from the Brits! To counter this, we're gonna send a request to purchase South Georgia and the Falklands for 30000 pounds.;;;;;;;;;;;;;
norwegian_whaling;Norwegian Whale Hype!;;;;;;;;;;;;;
bomuldsfabrique_modifier;Profitable Textile Manufacturing;;;;;;;;;;;;;
bomuldsfabrique;Norway's first factory!;;;;;;;;;;;;;
bomuldsfabriquedesc;"Haldens Bomuldsspinderi & Væveri" established in 1813 is said to be the first modern factory in Norwegian history. It all started with the ambitious 21 year old Mads Truelsen Wiel who went to Copenhagen in then Denmark-Norway as a student and got to hear about the abolishment of the textile import tax. This made him quite impulsively buy a weavery and modernise it to meet the time's standard. This had been his dream since he was 16 to establish a modern factory after he'd already inherited a huge business from his father! After Sweden formed a union over Norway in 1814, he got special permission from the Swedish king in 1815 to properly establish the factory in the city of Fredrikshald (Now "Halden"). After Mads died in 1835, he'd had a big impact on the Norwegian industry. The year is now 1836 and the business is owned by his son, Truels Wiel. Let's hope he knows what he's doing! (The next 10 years would prove to be very prosperous!);;;;;;;;;;;;;
bomuldsfabrique_option;(Dye factory and coal is because it won't survive through 1836 if textile and fish);;;;;;;;;;;;;
bomuldsfabrique2;The downfall of Norway's first factory;;;;;;;;;;;;;
