Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
invade_bolivia_title;Invade Bolivia?;;;;¿Invadir Bolivia?;;;;;;;;;
invade_bolivia_desc;The territory of Charcas, also known as Alto Peru, had been part of the Viceroyalty of Peru until 1776, when it was transferred to the Viceroyalty of the Rio de la Plata. In 1825, Alto Peru declared its independence as the Republic of Bolivar, now known as Bolivia. Now that said country is littered with internal conflicts we can sieze the opportunity and reconquer what has always been rightfully ours.;;;;El territorio de Charcas, también conocido como el Alto Perú, había sido parte del Virreinato del Perú hasta 1776, cuando fue transferido al Virreinato del Río de la Plata. En 1825, el Alto Perú declaró su independencia como la República de Bolivar, ahora conocida como Bolivia. Ahora que dicho país está plagado de conflictos internos podemos usar esta oportunidad y reclamar lo que siempre ha sido nuestro.;;;;;;;;;
a_treaty_with_bolivia_title;A treaty with Bolivia;;;;Un tratado con Bolivia;;;;;;;;;
a_treaty_with_bolivia_desc;Now that we have won our war against Bolivia, we have to specify our demands.;;;;Ahora que hemos ganado nuestra guerra con Bolivia, tenemos que especificar nuestras demandas.;;;;;;;;;
a_treaty_with_peru_title;A treaty with Peru;;;;Un tratado con Perú;;;;;;;;;
a_treaty_with_peru_desc;Now that we have won our war against Peru, we have to specify our demands.;;;;Ahora que hemos ganado nuestra guerra con Perú, tenemos que especificar nuestras demandas.;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_PEU_BOL;The Peruvian-Bolivian War;;;;La Guerra Perú-Boliviana;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_PEU_BOL;The Peruvian-Bolivian War;;;;La Guerra Perú-Boliviana;;;;;;;;;
EVNTNAME150150;The Occupation of La Paz;;;;La Ocupación de La Paz;;;;;;;;;
EVNTDESC150150;The Peruvian president, Agustín Gamarra, has led his nation's army to march into our territory and occupy the city of La Paz. There is no doubt that this is a move in an attempt to possibly conquer our republic.;;;;El presidente peruano, Agustín Gamarra, está liderando a su nación a marchar en nuestro territorio y ocupar la ciudad de La Paz. No hay ninguna duda que esto fue hecho en un intento para conquistar nuestra república.;;;;;;;;;
EVNTOPTA150150;We shall protect our independence no matter the cost! To arms!;;;;¡Protegeremos nuestra independence sin importar el costo! ¡A las armas!;;;;;;;;;
EVNTNAME150151;The Treaty of Puno;;;;El Tratado de Puno;;;;;;;;;
EVNTDESC150151;Now that we have won our war against the Peruvians, what shall we demand that they give us?;;;;Ahora que hemos ganado la guerra contra Perú, ¿qué demandaremos que nos den?;;;;;;;;;
EVNTOPTA150151;We have secured our independence, we want nothing more. §GLose 5 infamy§W;;;;Hemos asegurado nuestra independencia, no deseamos nada más. §GPerder 5 infamia§W
EVNTOPTB150151;We wish to control the port of Arica and its surrounding lands. §RGain 4 infamy§W;;;;Deseamos controlar el puerto de Arica y las tierras vecinas.  §RGanar 4 infamia§W
EVNTOPTC150151;We demand Arica, Puno and the Peruvian Acre. §RGain 6 infamy§W;;;;Demandamos Arica, Puno y el Acre Peruano §RGanar 6 infamia§W;;;;;;;;;
EVNTNAME150152;The End of the War;;;;El Fin de la Guerra;;;;;;;;;
EVNTDESC150152;Our attempt to invade Bolivia has resulted in failure and our soldiers march back home in defeat.;;;;Nuestro intento de invadir Bolivia ha resultado en fracaso y nuestros soldados marchan de vuelta a casa, derrotados.;;;;;;;;;
EVNTOPTA150152;What a humiliation...;;;;Vaya humillación...;;;;;;;;;
EVNTNAME150153;The Bolivian Demands;;;;Las Demandas Bolivianas;;;;;;;;;
EVNTDESC150153;Our attempt to invade Bolivia has failed catastrophically, now they have presented a series of humiliating demands we have no choice but to accept.;;;;Nuestro intento de invadir Bolivia ha fallado catastróficamente, ahora han presentado una serie de demandas humillantes de las cuales no tenemos otra opción más que aceptar.;;;;;;;;;
EVNTOPTA150153;What a humiliation...;;;;Vaya humillación...;;;;;;;;;
EVNTNAME150154;The Bolivian Demands;;;;Las Demandas Bolivianas;;;;;;;;;
EVNTDESC150154;Our attempt to invade Bolivia has failed catastrophically, now they have presented a series of humiliating demands we have no choice but to accept.;;;;Nuestro intento de invadir Bolivia ha fallado catastróficamente, ahora han presentado una serie de demandas humillantes de las cuales no tenemos otra opción más que aceptar.;;;;;;;;;
EVNTOPTA150154;What a humiliation...;;;;Vaya humillación...;;;;;;;;;
EVNTNAME1601601;The Treaty of Puno;;;;El Tratado de Puno;;;;;;;;;
EVNTDESC1601601;Now that we have won our war against the Bolivians, what shall we demand that they give us?;;;;Ahora que hemos ganado la guerra contra Bolivia, ¿qué demandaremos que nos den?;;;;;;;;;
EVNTOPTA1601601;Bolivia would be too difficult to hold.;;;;Bolivia será muy difícil de controlar.;;;;;;;;;
EVNTOPTB1601601;We demand Acre and the Bolivian West. §RGain 4 infamy§W;;;;Demandamos el Acre y el oeste boliviano. §RGanar 4 infamia§W;;;;;;;;;
EVNTOPTC1601601;All of Alto Peru is rightfully Peruvian. §RGain 8 infamy§W;;;;Todo el Alto Perú es legítimamente peruano. §RGanar 8 infamia§W;;;;;;;;;
EVNTNAME160160;The Treaty of Puno;;;;El Tratado de Puno;;;;;;;;;
EVNTDESC160160;Now that we have won our war against the Bolivians, what shall we demand that they give us?;;;;Ahora que hemos ganado la guerra contra Bolivia, ¿qué demandaremos que nos den?;;;;;;;;;
EVNTOPTB160160;We demand Acre and the Bolivian West. §RGain 4 infamy§W;;;;Demandamos el Acre y el oeste boliviano. §RGanar 4 infamia§W;;;;;;;;;
EVNTOPTC160160;All of Alto Peru is rightfully Peruvian. §RGain 8 infamy§W;;;;Todo el Alto Perú es legítimamente peruano. §RGanar 8 infamia§W;;;;;;;;;
EVNTNAME160161;The Peruvian Demands;;;;Las Demandas Peruanas;;;;;;;;;
EVNTDESC160161;The war between us and the Peruvians has resulted in a resounding defeat for our armies, now they have presented a series of humiliating demands that we have no choice but to accept.;;;;La guerra entre nosotros y los peruanos ha resultado en una derrota catastrófica para nuestro ejército, ahora han presentado una serie de demandas humillantes de las cuales no tenemos otra opción más que aceptar.;;;;;;;;;
EVNTOPTA160161;What a humiliation...;;;;Vaya humillación...;;;;;;;;;
