;;;;;;;;;;;;;;x,,,
combine_harvesters;Steam-Powered Combine;;;;;;;;;;;;x,,,,,,,
combine_harvesters_desc;The Combine Harvester, or simply Combine, is a versatile machine designed to efficiently harvest a variety of grain crops. The name derives from its combining three separate harvesting operations - reaping, threshing, and winnowing - into a single process. With the use of a steam engine in a combine harvester, the potential harvest of a single worker increases dramatically.;;;;;;;;;;;;x,,,,,,
nylon;Nylon;;;;;;;;;;;;x,,,,,,,
nylon_desc;Nylon was intended to be a synthetic replacement for silk and substituted for it in many different products after silk became scarce during World War II. It replaced silk in military applications such as parachutes and flak vests, and was used in many types of vehicle tires;;;;;;;;;;;;x,,,,,,,
portland_cement;Portland Cement;;;;;;;;;;;;x,,,,,,,
portland_cement_desc;Portland cement is a type of cement made out of the basic ingredients of concrete, mortar, stucco and most non-specialty grout. It was developed from other types of hydraulic lime in England in the mid 19th century, and usually originates from limestone. Its name is derived from its similarity to Portland stone which was quarried on the Isle of Portland in Dorset, England.;;;;;;;;;;;;x,,,,,
rosendale_cement;Rosendale Cement;;;;;;;;;;;;x,,,,,,,
rosendale_cement_desc;Rosendale cement generally refers to a type of natural cement that was produced in and around Rosendale,New York from argillaceous limestone,but is a term that has had different definitions at different times. The fast-setting Rosendale natural cement mortars proved to be more efficient than the mortars based on lime and sand. Because of its reputation,"""Rosendale Cement"" has also been used as both a trade name and as a generic term referring to natural hydraulic cements produced elsewhere.;;;;;;;;;;;;x",,,,
poudre_b;Poudre B;;;;;;;;;;;;x,,,,,,,
poudre_b_desc;Meaning 'poudre blanch' or 'white powder', Poudre B was the first practical smokeless gunpowder, three times more powerful than black powder for the same weight. Originally called "Poudre V", from the name of the inventor, Paul Vieille, it was arbitrarily renamed "Poudre B" (short for poudre blanche -- white powder, as distinguished from black powder) to distract foreign espionage.;;;;;;;;;;;;x,,,,,
freud;Sigmund Freud;;;;;;;;;;;;x,,,,,,,
freud_desc;Sigmund Freud was an Austrian neurologist who founded the disciple of psychoanalysis. He is best known for his theories on the unconscious mind and the mechanism of repression, and for creating the clinical method of psychoanalysis for investigating the mind and treating psychpathology through dialogue between a patient and a psychoanalyst. Freud established sexual drives as the primary motivational forces of human life, developed therapeutic techniques such as the use of free association, discovered the phenomenon of transference in the therapeutic relationship and established its central role in the analytic process.;;;;;;;;;;;;x,,,,
jung;Carl Jung;;;;;;;;;;;;x,,,,,,,
