;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_MNP_title;Grant Manipur Independence;;;;;;;;;;;;x,,
gtfo_MNP_desc;We've had a good run, but it's time to end our rulership of Manipur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BDK_title;Grant Badakhshan Independence;;;;;;;;;;;;x,,
gtfo_BDK_desc;We've had a good run, but it's time to end our rulership of Badakhshan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PGG_title;Grant Pingnan Guo Independence;;;;;;;;;;;;x,,
gtfo_PGG_desc;We've had a good run, but it's time to end our rulership of Pingnan Guo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGM_title;Grant Sigmaringen Independence;;;;;;;;;;;;x,,
gtfo_SGM_desc;We've had a good run, but it's time to end our rulership of Sigmaringen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NMB_title;Grant Namibia Independence;;;;;;;;;;;;x,,
gtfo_NMB_desc;We've had a good run, but it's time to end our rulership of Namibia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TMR_title;Grant Timor Independence;;;;;;;;;;;;x,,
gtfo_TMR_desc;We've had a good run, but it's time to end our rulership of Timor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLG_title;Grant Selangor Independence;;;;;;;;;;;;x,,
gtfo_SLG_desc;We've had a good run, but it's time to end our rulership of Selangor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRK_title;Grant Perak Independence;;;;;;;;;;;;x,,
gtfo_PRK_desc;We've had a good run, but it's time to end our rulership of Perak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PHG_title;Grant Pahang Independence;;;;;;;;;;;;x,,
