;;;;;;;;;;;;;x,,,,,,,,
EVTDESC10221_NEWS_LONG;$COUNTRY$: A massive demonstration by the Chartists has taken place in Kennington Common, with liberals demanding that the People's Charter be implemented immediately-- giving equal votes to all men, rich or poor, as well as secret ballots and a fair distribution of constituencies. Many in the $COUNTRY_ADJ$ government suggest that such public gatherings should be made illegal, and that at best the British government should make empty promises to these rabble-rousers. Others fear that refusing their demands will lead to the monarchy being toppled by rebellion.;;;;;;;;;;;;x,,,,
EVTDESC10221_NEWS_MEDIUM;$COUNTRY$: A massive demonstration by the Chartists has taken place in Kennington Common, with liberals demanding that the People's Charter be implemented immediately-- giving equal votes to all men, as well as secret ballots and a fair distribution of constituencies.;;;;;;;;;;;;x,,,,,,
EVTDESC10221_NEWS_SHORT;$COUNTRY$: A massive demonstration by the Chartists has taken place in Kennington Common, with liberals demanding that the People's Charter be implemented immediately.;;;;;;;;;;;;x,,,,,,,
EVTDESC10225_NEWS_LONG;The Hungarian Diet has grown increasingly independent of Austrian rule in recent years. Field Marshall Count Franz Philipp von Lamberg was sent to Hungary to take personal control over their armies, but was attacked upon his arrival. In response, the Austrian government ordered the Hungarian Diet dissolved and the Ban of Croatia installed in Lamberg's place. The Hungarians have refused to obey, and thus $COUNTRY$ now faces civil war to maintain the integrity of the empire.;;;;;;;;;;;;x,,,,,
EVTDESC10225_NEWS_MEDIUM;The Hungarian Diet has grown increasingly independent of Austrian rule. Field Marshall Count von Lamberg was sent to Hungary to take control over their armies. The Hungarians refused to obey, and thus $COUNTRY$ now faces civil war to maintain the integrity of the empire.;;;;;;;;;;;;x,,,,,,,
EVTDESC10225_NEWS_SHORT;The Hungarians refused to obey and order from the $COUNTRY_ADJ$ government to surrender control of their armies, and thus $COUNTRY$ now faces civil war to maintain the integrity of the empire.;;;;;;;;;;;;x,,,,,,,
EVTDESC10228_NEWS_LONG;$COUNTRY$: With the entire nation ready to overthrow the monarchy, ministers have approached the $COUNTRY_ADJ$ King with advice on reforming the constitution before it's too late. Including provisions that permitted the direct election of the lower house as well as numerous freedoms the Dutch do not already enjoy might pacify the liberals, they say, and thus prevent $COUNTRY$ from the unpleasant prospect of $CAPITAL$ being overtaken by rebels.;;;;;;;;;;;;x,,,,,
EVTDESC10228_NEWS_MEDIUM;$COUNTRY$: With the entire nation ready to overthrow the monarchy, ministers have approached the $COUNTRY_ADJ$ King with advice on reforming the constitution with more liberal concessions before it's too late.;;;;;;;;;;;;x,,,,,,,
EVTDESC10228_NEWS_SHORT;$COUNTRY$: With the entire nation ready to overthrow the monarchy, ministers have approached the $COUNTRY_ADJ$ King with advice on reforming the constitution before it's too late.;;;;;;;;;;;;x,,,,,,,
EVTDESC10229_NEWS_LONG;With the $COUNTRY_ADJ$ people seemingly ready to break down the government’s doors, demanding constitutional reform, the $COUNTRY_ADJ$ Kaiser has pondered the wisdom in perhaps giving it to them. Some moderate reforms, allowing the masses their vote but retaining ultimate power for the $COUNTRY_ADJ$ aristocracy and the Kaiser, should please them enough to dispel this rabble... or so he appears to assume.;;;;;;;;;;;;x,,,,
