BYZ;Roman Republic;Empire byzantin;Byzantinisches Reich;;Imperio Bizantino;;;;;;;;x
BYZ_ADJ;Byzantine;byzantin;Byzantinisch;;Bizantina;;;;;;;;x
BYZ_conservative;Komma Ethnikofronon;Komma Ethnikofronon;Komma Ethnikofronon;;Komma Ethnikofronon;;;;;;;;x
BYZ_reactionary;Kómma Paleologós;Kómma Paleologós;Kómma Paleologós;;Kómma Paleologós;;;;;;;;x
BYZ_liberal;Kómma Fileleftheron;Kómma Fileleftheron;Kómma Fileleftheron;;Kómma Fileleftheron;;;;;;;;x
BYZ_anarcho_liberal;Neoteristikon Kómma;Neoteristikon Kómma;Neoteristikon Kómma;;Neoteristikon Kómma;;;;;;;;x
BYZ_socialist;Sosialistikó Kómma Byzantós;Sosialistikó Kómma Byzantós;Sosialistikó Kómma Byzantós;;Sosialistikó Kómma Byzantós;;;;;;;;x
BYZ_communist;Kommounistikó Kómma Byzantós;Kommounistikó Kómma Byzantós;Kommounistikó Kómma Byzantós;;Kommounistikó Kómma Byzantós;;;;;;;;x
BYZ_fascist;Kómma ton Eleutherofróvon;Kómma ton Eleutherofróvon;Kómma ton Eleutherofróvon;;Kómma ton Eleutherofróvon;;;;;;;;;;;x
form_byzantine_empire;Reform the Imperium Romanum: Constantinople shall be the home of the King of Kings once more!;;;;;;;;;;;x
form_byzantine_empire_desc;With the collapse of the Ottoman Empire, the Ottoman claims to Imperial Roman titles, so viciously and deceitfully wrought from Greek hands in the dark year of 1453, are all fast becoming fading memories. Constantinople, the City of Man's Desire, is again, after centuries of Turkish occupation, in Greek hands. As years and time passed again, again ours they were. Basileus, proclaim our Empire restored!;Avec la chute de l’Empire ottoman, les prétentions ottomanes sur les titres de la Rome impériale, arrachés des mains grecques par traitrise et fourberie en cette sombre année 1453, ne sont plus que des souvenirs oubliés. Constantinople, la ville des désirs d’un homme, est de nouveau grecque après des siècles d’occupation turque. Tandis que les années passaient, notre heure est revenue. Basileos, proclame notre empire restauré !;Durch den Zusammenbruch des osmanischen Reiches wird von den osmanischen Ansprüchen an kaiserlich-römische Titel, die man den Griechen im schwarzen Jahr 1453 so brutal und hinterlistig entrissen hatte, bald nicht mehr als schnell verblassende Erinnerungen übrig sein. Konstantinopel, die Stadt der sieben Hügel, ist nach Jahrhunderten türkischer Besetzung nun wieder in griechischen Händen. Basileos, proklamiere unser Reich als wiederhergestellt!;;Con el colapso del Imperio Otomano, las pretensiones de los turcos con respecto a los títulos imperiales romanos, tan cruel y maliciosamente arrebatadas de manos de los griegos en el sombrío año de 1453, están quedando relegadas a la condición de mero recuerdo. Constantinopla, la 'Ciudad del Deseo del Hombre', vuelve a estar, tras siglos de ocupación turca, en manos de los griegos. Han pasado muchos años, pero todo vuelve a su lugar. ¡Basileos, proclamad la restauración de nuestro imperio!;;;;;;;;;x
BYZ_absolute_monarchy;Byzantine Empire;;;;;;;;;;;;x
BYZ_hms_government;Byzantine Empire;;;;;;;;;;;;x
BYZ_prussian_constitutionalism;Byzantine Empire;;;;;;;;;;;;x
BYZ_absolute_monarchy_ADJ;Byzantine;;;;;;;;;;;;;;;;;;;;;;;;x
BYZ_prussian_constitutionalism_ADJ;Byzantine;;;;;;;;;;;;;;;;;;;;;;;;x
BYZ_hms_government_ADJ;Byzantine;;;;;;;;;;;;;;;;;;;;;;;;x
