;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3274;Svaneti;;;;;;;;;;x;;;;
PROV2095;Dithakong;;;;;;;;;;x;;;;
RUS_994;Ingriya;;;;;;;;;;;;;;x
SWI_603;Mittelland;;;;;;;;;;;;;;x
SWI_607;Région Lémanique;;;;;;;;;;;;;;x
SWI_2568;Ticino;;;;;;;;;;;;;;x
PROV3273;Thohoyandu;;;;;;;;;;;;;;x
PROV3270;Wetzlar;;;;;;;;;;;;;;x
PROV3271;Jura;;;;;;;;;;;;;;x
PROV3272;Brig;;;;;;;;;;;;;;x
BEL_387;Vlaanderen;;;;;;;;;;;;;;x
BEL_394;Wallonie;;;;;;;;;;;;;;x
PROV609;Sion;;;;;;;;;;;;;;x
PROV1623;Songjin;;;;;;;;;;;;;;x
PROV388;Brugge;;;;;;;;;;;;;;x
PROV389;Gent;;;;;;;;;;;;;;x
PROV390;Antwerpen;;;;;;;;;;;;;;x
PROV3269;Portsmouth;;;;;;;;;;;;;;x
PROV3268;Exeter;;;;;;;;;;;;;;x
PROV3267;Bielefield;;;;;;;;;;;;;;x
PROV3266;San Marino;;;;;;;;;;;;;;x
PROV3265;Essen;;;;;;;;;;;;;;x
PROV567;Gießen;;;;;;;;;;;;;;x
FRA_432;Franche-Comté;;;;;;;;;;;;;x
FRA_411;Lorraine;;;;;;;;;;;;;x
FRA_406;Champagne;;;;;;;;;;;;;x
PROV3263;Fort William;;;;;;;;;;;;;x
PROV3264;Nicobar Islands;;;;;;;;;;;;;x
PROV882;Trebizond;;;;;;;;;;;;;x
PROV861;Scutari;;;;;;;;;;;;;x
PROV828;Adrianople;;;;;;;;;;;;;x
PROV860;Kostantiniye;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
RUS_1008;Moskva;;;;;;;;;;;;x
PROV958;Kyiv;;;;;;;;;;;;x
PROV603;Zürich;;;;;;;;;;;;x
PROV1017;Oryol;;;;;;;;;;;;x
PROV1008;Moskva;;;;;;;;;;;;x
PROV981;Arkhangel'sk;;;;;;;;;;;;x
PROV372;København;;;;;;;;;;;;x
PROV809;Sofiya;;;;;;;;;;;;x
PROV619;Wien;;;;;;;;;;;;x
RUS_981;Arkhangel'sk;;;;;;;;;;;;x
RUS_978;Kharkiv;;;;;;;;;;;x
RUS_958;Kyiv;;;;;;;;;;;;x
PROV978;Kharkiv;;;;;;;;;;;x
PROV744;Firenze;;;;;;;;;;;;x
PROV749;Roma;;;;;;;;;;;;x
PROV724;Genova;;;;;;;;;;;;x
PROV726;Milano;;;;;;;;;;;;x
PROV754;Napoli;;;;;;;;;;;;x
PROV729;Venezia;;;;;;;;;;;;x
PROV720;Torino;;;;;;;;;;;;x
PROV731;Padova;;;;;;;;;;;;x
PROV2721;Heligoland Bight;;;;;;;;;;;;x
RUS_959;Volyn;;;;;;;;;;;;x
druze;Druze;;;;;;;;;;;;x
PROV911;Ma'an;;;;;;;;;;;;x
PROV910;Azraq;;;;;;;;;;;;x
PROV2582;Cattaro;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV1839;Al-Fula;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV1739;An Nuhud;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV1806;Bayuda;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV2046;Mbeya;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV1850;Keren;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
AUS_733;Friuli;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PAP_741;Emilia-Romagna;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_semidesert;Desert Scrublands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_desert;Desert;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_boreal;Taiga;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_montane_tundra;Alpine Tundra;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_arctic;Tundra;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_mountain;Montane Grassland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_jungle;Jungle;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_plains;Grassland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
new_world_small_island;Island;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
arid_climate;Arid Climate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
CANAL_6;English Channel;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
GRE_837;Central Greece;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV2669;Sondrio;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3262;Belluno;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3261;Pescara;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV2351;Magdalena;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV3260;Sado;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV1531;Tombara;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV2537;Birara;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV158;Grand Portage;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV29;Kyzylkum;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PROV2595;Nunavut;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV25;Old Bow Fort;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV6;Selkirk;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV35;Fort Pitt;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV28;Jasper;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV26;Rocky Mountain House;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV22;Buckingham House;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV24;Fort Chesterfield;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV34;Fort Carlton;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV33;Battleford;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV41;Fort Ellice;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2594;Osnaburgh House;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV49;Rat Portage;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV52;Orillia;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV75;Port-Aux-Basques;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV69;Petit-Sault;;;;;;;;;;;;x
PROV683;Waldenburg;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV43;Clarksville;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV134;Fort Parker;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV135;Llano Estacado;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV85;Sonoma;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
urban;Urban;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
FRA_1901;Houet;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ASH_1910;Volta;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV155;Fort Snelling;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV156;Fort Renville;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV157;Fort Ripley;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV92;Kullyspell;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV93;Fort Hall;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV123;Fort Robidoux;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV124;Bordeaux's Post;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV125;Fontenelle's Post;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV126;Fort Leavenworth;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV127;Fort Mann;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV113;Gallatin Valley;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV117;Fort Clark;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV118;Fort James;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV119;Fort Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV122;Fort Pierre;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV121;Fort Cedar;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV120;Fort Kiowa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV114;Fort Owen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV115;Fort Benton;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV116;Fort Van Buren;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV131;Fort Washita;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV130;Fort Gibson;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV111;Fort Bonneville;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV112;Fort Laramie;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV106;Bent's Fort;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2702;Alty-Kuduk;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1210;Kunduz;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1196;Gurgench;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV686;Merv;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
BUR_1334;Mandalay;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV579;Neuwied;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV574;Koblenz;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV547;Greifswald;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV57;Bytown;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2036;Mzizima;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2681;Taipei;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1485;Tainan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2562;Taitung;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1743;Nordhorn;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1739;Jalu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1738;Al Jaghbub;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2585;Al Jawf;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1742;Wath;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1744;Sabha;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2016;Mpika;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2017;Mwansabombwe;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
PROV3104;Lake Nyasa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV702;Lemberg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV952;Tarnopol;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2605;Ngaanyatjarraku;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2601;Wilkinkarra;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2495;Tirari;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1990;Kindu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV1991;Rusozi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2471;Bathurst;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2496;Nullarbor;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2603;Chanamee;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2507;Mparntwe;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV2505;Port Essington;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
RUS_973;Kherson-Zaporizhia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
RUS_955;Yekaterinoslav;;;;;;;;;;;;x
PROV3107;Lake Baikal;;;;;;;;;;;;;;;;;;;;;x;;;;;;
PROV2589;Tsushima;;;;;;;;;;;;;;;;;;;;;;;;x
PROV1724;Orkney & Shetland;;;;;;;;;;;;;;;;;;;;;;;;x
PROV1858;Asaita;;;;;;;;;;;;;;;;;;;;;;;;x
australia_new_zealand;Oceania;;;;;;;;;;;;;;;;;;;;;;;;x
polynesia;Polynesia;;;;;;;;;;;;;;;;;;;;;;;;x
desert;Desert;;;;;;;;;;;;;;;;;;;;;;;x;;;;
semidesert;Semidesert;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
small_island;Island;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
coral_island;Atoll;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
forest;Forest;;;;;;;;x
boreal;Taiga;;;;;;;;;;;;;;;;;;;;;;;;x
arctic;Tundra;;;;;;;;;;;;;;;;;;;;;;;;x
plains;Grassland;;;;;;;;;;;;;;;;;;;;;;;;x
hills;Grassland Hills;;;;;;;;;;;;;;;;;x
dryhills;Dry Grassland Hills;;;;;;;;;;;;;;;;;x
mountain;Montane Grassland;;;;;;;;;;;;;;;;;x
montane_tundra;Alpine Tundra;;;;;;;;;;;;;;;;;x
montane_forest;Montane Forest;;;;;;;;;;;;;;;;;x
savanna;Savanna;;;;;;;;;;;;;;;;;;;;;;;;x
PROV1377;Da Nang;;;;;;;;;;;;;;;;;;x;;;;
PROV1720;Bechar;;;;;;;;;;;;;;;;;;x;;;;
PROV1714;Santa Rosa;;;;;;;;;;;;;;;;;;x;;;;
PROV2631;Unalakleet;;;;;;;;;;;;;;;;;;x;;;;
PROV1780;Debar;;;;;;;;;;;;;;;;;;x;;;;
