;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98410;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98410;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Madagascar. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98418;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98418;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Patagonia. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98426;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98426;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Guiana. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98430;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98430;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Alaska. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98435;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98435;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Uganda. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98442;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98442;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Hokkaido. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98449;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98449;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Cyrenaica. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98455;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98455;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Angola. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
