#############################################;;;;;;;;;;;;;;x
#New Unciv Reform Localisations;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
land_reform_two;Title and Deed system;;;;;;;;;;;;;x
land_reform_two_desc;The state guarantees private property and land development rights;;;;;;;;;;;;;x
admin_reform_two;Foreign-Trained Civil Service;;;;;;;;;;;;;x
admin_reform_two_desc;The national administration is now run by western-educated bureaucrats;;;;;;;;;;;;;x
education_reform_two;Universities;;;;;;;;;;;;;x
education_reform_two_desc;Western-style schools of higher learning are established;;;;;;;;;;;;;x
transport_improv_two;Advanced railroads;;;;;;;;;;;;;x
transport_improv_two_desc;Our transportation system can move people and goods as never before!;;;;;;;;;;;;;x
no_western_science;Traditional learning;;;;;;;;;;;;;x
no_western_science_desc;We rely on the old ideas;;;;;;;;;;;;;x
yes_western_science;Basic Western learning;;;;;;;;;;;;;x
yes_western_science_desc;We send our students to learn foreign ideas in science from the West;;;;;;;;;;;;;x
western_science_two;Scientific Research;;;;;;;;;;;;;x
western_science_two_desc;We promote research into scientific and economic theories in our schools;;;;;;;;;;;;;x
foreign_training_two;Foreign Tactics;;;;;;;;;;;;;x
foreign_training_two_desc;Our troops learn western military tactics before going into battle;;;;;;;;;;;;;x
foreign_weapons_two;Advanced foreign weapons;;;;;;;;;;;;;x
foreign_weapons_two_desc;Our BOOMSTICKS are better!;;;;;;;;;;;;;x
military_constructions_two;Modern Constructions;;;;;;;;;;;;;x
military_constructions_two_desc;Our forts are modern and more defensible ;;;;;;;;;;;;;x
foreign_officers_two;Domestic officer training;;;;;;;;;;;;;x
foreign_officers_two_desc;Our own officers will now lead our troops!;;;;;;;;;;;;;x
army_schools_two;Military academies;;;;;;;;;;;;;x
army_schools_two_desc;Our offcers are instructed in advanced military tactics before leading men into battle;;;;;;;;;;;;;x
foreign_naval_officers_two;Domestic naval officers;;;;;;;;;;;;;x
foreign_naval_officers_two_desc;Our captains lead without foreign advisors;;;;;;;;;;;;;x
naval_schools_two;Naval academies;;;;;;;;;;;;;x
naval_schools_two_desc;Our captains are instructed in advanced naval tactics before leading men into battle;;;;;;;;;;;;;x
foreign_navies_two;Advanced warships;;;;;;;;;;;;;x
foreign_navies_two_desc;We can construct our own modern warships;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New Triggered Modifiers;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
desperate_nation;Desperate Nation;Nation microscopique;Mikroskopische Nation;;Nación microscópica;;;;;;;;;x;;;;
microscopic_nation;Microscopic Nation;Nation microscopique;Mikroskopische Nation;;Nación microscópica;;;;;;;;;x;;;;
tiny_nation;Tiny Nation;Très petite Nation;Sehr kleine Nation;;Muy pequeña nación;;;;;;;;;x;;;;
small_nation;Small Nation;Petite Nation;Kleine Nation;;Pequeña nación;;;;;;;;;x;;;;
medium_nation;Medium Nation;Nation moyenne;Mittlere Nation;;Medio país;;;;;;;;;x;;;;
average_nation;Average Nation;Nation régulière;Durchschnittsgröße Nation;;País promedio;;;;;;;;;x;;;;
large_nation;Large Nation;Grande Nation;Großes Nation;;Nación grande;;;;;;;;;x;;;;
empire;Empire;Empire;Reich;;Imperio;;;;;;;;;x;;;;
medium_empire;Medium Empire;Moyen Empire;Mittleres Reich;;Imperio medio;;;;;;;;;x;;;;
large_empire; Large Empire;Grand Empire;Große Reich;;Gran imperio;;;;;;;;;x;;;;
insane_empire; Insane Empire;L'Empire de fou;Das wahnsinnig Reich;;El Imperio loco;;;;;;;;;x;;;;
insane_empire2; Insane Empire;L'Empire de fou;Das wahnsinnig Reich;;El Imperio loco;;;;;;;;;x;;;;
ai_boost;AI Boost;AI Boost;AI Boost;;AI Boost;;;;;;;;;x;;;;
gorkha_kingdom;Gorkha Kingdom;Royaume de Gorkha;Gorkha Königreich;;Reino de Gorkha;;;;;;;;;x;;;;
fairer_taxation;Taxation Relief;Allégement de la fiscalité;Besteuerung Relief;;Alivio de impuestos;;;;;;;;;x;;;;
policestate_modifier;The Police State;;;;;;;;;;;;;x;;;;
one_party_state_modifier;The One Party State;;;;;;;;;;;;;x;;;;
totalitarianism_modifier;Totalitarianism;;;;;;;;;;;;;x;;;;
leadership_principle_modifier;The Leadership Principle;;;;;;;;;;;;;x;;;;
ultranationalism_modifier;Ultranationalism and the Volk;;;;;;;;;;;;;x;;;;
collectivisation_modifier;Collectivisation;;;;;;;;;;;;;x;;;;
classless_society_modifier;A Classless Society;;;;;;;;;;;;;x;;;;
#############################################;;;;;;;;;;;;;;x
#Agriculture Inventions;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
cotton_gin;Cotton Gin;;;;;;;;;;;;x,,,,,,,
cotton_gin_desc;Eli Whitney invented the first mechanical machine for separating cotton fibres from their seeds in 1793. This dramatically increased the productivity of cotton plantations.;;;;;;;;;;;;x,,,,,,
cattle_trucks;Cattle Trucks;;;;;;;;;;;;x,,,,,,,
cattle_trucks_desc;The introduction of automobiles has also had one ancillary benefit: the development of cattle trucks, large enough to hold multiple cattle at once and speed up the process of delivering livestock for slaughter.;;;;;;;;;;;;x,,,,,,
cattle_breeding_program;Cattle Breeding Program;;;;;;;;;;;;x,,,,,,,
cattle_breeding_program_desc;New methods of breeding livestock have led to a boom in cattle and horse populations, and permitted the average rancher far more control over the quality of his stock.;;;;;;;;;;;;x,,,,,,
accelerated_vulcanization;Accelerated Vulcanization;;;;;;;;;;;;x,,,,,,,
accelerated_vulcanization_desc;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulfur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;;;;;;;;;x,,,,,,
silk_waste_spinning;Silk Waste Spinning;;;;;;;;;;;;x,,,,,,,
silk_waste_spinning_desc;This was a cumulative set of processes developed throughout the 19th century to process previously unusable silk. Sources of waste silk included the gummy silk fibres left over the predominant Silk Throwing Process and from the cocoons of the mulberry worms themselves. Previously this 'waste silk' had accounted for nearly 50% of raw silk production, and now it could be utilized too.;;;;;;;;;;;;x,,,,,,
inclosure;Inclosure;;;;;;;;;;;;x,,,,,,,
inclosure_desc;Inclosure is the process which was used in order to end some traditional rights, such as mowing meadows for hay, or grazing livestock on land which is owned by another person. Under inclosure, such land is fenced and deeded or entitled to one or more owners. By the 19th century, unenclosed commons had become largely restricted to rough pasture in mountainous areas and in relatively small parts of the lowlands.;;;;;;;;;;;;x,,,
regenerative_forestry;Regenerative Forestry;;;;;;;;;;;;x,,,,,,,
regenerative_forestry_desc;New methods of harvesting our nation's forests must be undertaken, in order to ensure that these resources remain sustainable as techniques for harvesting lumber become more advanced.;;;;;;;;;;;;x,,,,,,
spinning_jenny;Spinning Jenny;;;;;;;;;;;;x,,,,,,,
spinning_jenny_desc;The spinning jenny is a multi-tool spinning frame. The device reduced the amount of work needed to produce yarn, with a worker able to work eight or more spools at once. It advanced the efficiency of the textile industry a great deal, and was one of the driving forces behind the Industrial Revolution in many textile-based countries.;;;;;;;;;;;;x,,,,,
seafood_packing;Seafood Packing;;;;;;;;;;;;x,,,,,,,
seafood_packing_desc;The ability to preserve seafood was the first step in permitting such food to reach parts of the country that did not live by the coast, thereby assisting in the growth of large urban centers.;;;;;;;;;;;;x,,,,,,
combine_harvesters;Powered Combine;;;;;;;;;;;;x,,,,,,,
combine_harvesters_desc;With George Stockton Berry's use of a steam engine in a combine harvester, the potential harvest of a single worker increased dramatically.;;;;;;;;;;;;x,,,,,,
mechanized_farming_equipment;Mechanized Farming Equipment;;;;;;;;;;;;x,,,,,,,
mechanized_farming_equipment_desc;Traditional methods of harvest are slowly being discarded as new, mechanical inventions are being produced. These will greatly speed up a farm's harvest, and allow the individual farm to cover much greater area than ever before.;;;;;;;;;;;;x,,,,,
mechanised_plantations;Mechanized Plantations;;;;;;;;;;;;x,,,,,,,
mechanised_plantations_desc;The introduction of mechanization to plantations allowed for harvesting to occur more rapidly, and for far more land to be manageable by the individual farmer. This freed up a great deal of labor, and led to the growth of urban centers.;;;;;;;;;;;;x,,,,,
traction_engines;Traction Engines;;;;;;;;;;;;x,,,,,,,
traction_engines_desc;The traction engine is a self-propelled steam engine. Developed in the mid-nineteenth century, they were slow, heavy, and not very manouverable. However, they provided a clear revolution in road haulage of agricultural and forest products, replacing draught animals as the primary movers. Traction engines also could be used to provide a localized power source, and smaller versions were later produced that could plough fields without sinking into the soil.;;;;;;;;;;;;x,,,,,
industrial_farming;Industrial Farming;;;;;;;;;;;;x,,,,,,,
industrial_farming_desc;The notion of a farm being the province of a single family or landowner is slowly becoming a thing of the past. The production of food is an industry, and the cost of farm machinery simply beyond the means of many. Large businesses are stepping in, creating industrial farms that are more akin to factories than anything else.;;;;;;;;;;;;x,,,,,
industrial_livestock_husbandry;Industrial Livestock Husbandry;;;;;;;;;;;;x,,,,,,,
industrial_livestock_husbandry_desc;The old ways of ranching and livestock raising have become inadequate to supply the growing population. Large businesses are stepping in, creating large-scale operations that are more akin to factories than anything else.;;;;;;;;;;;;x,,,,,
tree_plantations;Tree Plantations;;;;;;;;;;;;x,,,,,,,
