PROV88;Northern Mojave;;;;;;;;;;;;;;
PROV3448;Santa Clara;;;;;;;;;;;;;;x
PROV3449;Fresno;;;;;;;;;;;;;;x
PROV3450;Santa Barbara;;;;;;;;;;;;;;x
PROV3451;Southern Mojave;;;;;;;;;;;;;;x
PROV3452;Mariposa;;;;;;;;;;;;;;x
PROV3453;Redding;;;;;;;;;;;;;;x
PROV3454;Klamath;;;;;;;;;;;;;;x
PROV3455;Eureka;;;;;;;;;;;;;;x
MEX_85_1;Northern California;;;;;;;;;;;;;;x
MEX_85_2;Southern California;;;;;;;;;;;;;;x
PROV3456;Puerto Peñasco;;;;;;;;;;;;;;x
PROV3457;Reno;;;;;;;;;;;;;;x
PROV3458;Shanty Town;;;;;;;;;;;;;;x
PROV3459;Aragonite;;;;;;;;;;;;;;x
PROV3460;Navajo;;;;;;;;;;;;;;x
PROV3461;Warm Springs;;;;;;;;;;;;;;x
PROV3462;Siuslaw;;;;;;;;;;;;;;x
PROV3463;Princeton;;;;;;;;;;;;;;x
PROV3464;Yakima;;;;;;;;;;;;;;x
PROV3465;North Cascades;;;;;;;;;;;;;;x
PROV3466;Spokane;;;;;;;;;;;;;;x
PROV3467;Dillon;;;;;;;;;;;;;;x
PROV3468;Riverton;;;;;;;;;;;;;;x
greatest_california_title;Claim the West Coast;;;;;;;;;;;;;;x
greatest_california_desc;To fulfill our manifest destiny we shall lay claim to the entire West Coast of North America!;;;;;;;;;;;;;;x
proclaim_pacifica_republic_title;Proclaim the Pacifica Republic;;;;;;;;;;;;;;x
proclaim_pacifica_republic_desc;With our claims along the coast firmly in our hands, we can now proclaim the Pacifica Republic;;;;;;;;;;;;;;
PAC;Pacifica Republic;;;;;;;;;;;;;;x
PAC_ADJ;Pacifican;;;;;;;;;;;;;;x
PAC_proletarian_dictatorship;The People's Republic of the Pacific;;;;;;;;;;;;;;x
PAC_fascist_dictatorship;The Greater Pacific State;;;;;;;;;;;;;;x
PAC_absolute_monarchy;The Kingdom of Pacifica;;;;;;;;;;;;;;x
PAC_prussian_constitutionalism;The Kingdom of Pacifica;;;;;;;;;;;;;;
PAC_hms_government;The Kingdom of Pacifica;;;;;;;;;;;;;;
PAC_absolute_empire;The Empire of Pacifica;;;;;;;;;;;;;;
PAC_semi_constitutional_empire;The Empire of Pacifica;;;;;;;;;;;;;;
PAC_constitutional_empire;The Empire of Pacifica;;;;;;;;;;;;;;
