ANC;Antillean Confederation;Antillean Confederation;Antillean Confederation;;;;;;;;;;;x;
ANC_ADJ;Antillean;Antillean;Antillean;;;;;;;;;;;x;
EFR;East Frisia;East Frisia;East Frisia;;;;;;;;;;;x;
EFR_ADJ;Frisian;Frisian;Frisian;;;;;;;;;;;x;
EPI;Epirus;Epirus;Epirus;;;;;;;;;;;x;
EPI_ADJ;Epirote;Epirote;Epirote;;;;;;;;;;;x;
EPI_conservative;Pasha Faction;;;;;;;;;;;;x;;
EPI_liberal;European Faction;;;;;;;;;;;;x;;
EPI_liberal_2;Progressive Faction;;;;;;;;;;;;x;;
EPI_reactionary;Ottoman Faction;;;;;;;;;;;;x;;
EPI_reactionary_2;Nationalist Faction;;;;;;;;;;;;x;;
EPI_anarcho_liberal;Klepht Faction;;;;;;;;;;;;x;;
EPI_socialist;Socialist Faction;;;;;;;;;;;;x;;
EPI_communist;Communist Faction;;;;;;;;;;;;x;;
EPI_fascist;Fascist Faction;;;;;;;;;;;;x;;
GAZ;Gaza;;;;;;;;;;;x;
GAZ_absolute_monarchy;Gaza Empire;;;;;;;;;;;x;
MAT_absolute_monarchy;Ndebele Kingdom;;;;;;;;;;;x;
GAZ_ADJ;Gazan;;;;;;;;;;;x;
GAZ_conservative;Royal Faction;;;;;;;;;;;;x;;
GAZ_liberal;Western Faction;;;;;;;;;;;;x;;
GAZ_reactionary;Monarchic Faction;;;;;;;;;;;;x;;
GAZ_anarcho_liberal;Reform Faction;;;;;;;;;;;;x;;
GAZ_socialist;Pan-African Faction;;;;;;;;;;;;x;;
GAZ_communist;Red Faction;;;;;;;;;;;;x;;
GAZ_fascist;Brownshirts;;;;;;;;;;;;x;;
NPU;North Peru;North Peru;North Peru;;;;;;;;;;;x;
NPU_ADJ;Peruvian;Peruvian;Peruvian;;;;;;;;;;;x;
PON;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_ADJ;Pontic;Pontic;Pontic;;;;;;;;;;;x;
SPC_absolute_monarchy;Spanish Empire;;;;;;;;;;;;;x;
SPC_prussian_constitutionalism;Spanish Empire;;;;;;;;;;;;;x;
SPC_hms_government;Spanish Empire;;;;;;;;;;;;;x;
UPB;Portugal-Brazil;Portugal-Brazil;Portugal-Brazil;;;;;;;;;;;x;
UPB_ADJ;Portuguese;Portuguese;Portuguese;;;;;;;;;;;x;
UPB_democracy;Lusitania;Lusitania;Lusitania;;;;;;;;;;;x;
UPB_democracy_ADJ;Lusitanic;Lusitanic;Lusitanic;;;;;;;;;;;x;
UPB_proletarian_dictatorship;Lusitanic Union;Lusitanic Union;Lusitanic Union;;;;;;;;;;;x;
UPB_proletarian_dictatorship_ADJ;Lusitanic;Lusitanic;Lusitanic;;;;;;;;;;;x;
UPB_fascist_dictatorship;Lusitanic Union;Lusitanic Union;Lusitanic Union;;;;;;;;;;;x;
UPB_fascist_dictatorship_ADJ;Lusitanic;Lusitanic;Lusitanic;;;;;;;;;;;x;
IRE_conservative_2;Fine Gael;Fine Gael;Fine Gael;;Fine Gael;;;;;;;;;x;
IRE_liberal_2;Sinn Fein;Sinn Fein;Sinn Fein;;Sinn Fein;;;;;;;;;x;
IRE_reactionary;Unionist Party;Parti unioniste;Unionist Party;;Partido Unionista;;;;;;;;;x;
IRE_social_liberal;Fianna Fail;Fianna Fail;Fianna Fail;;Fianna Fail;;;;;;;;;x;
