UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;x;
SUPPLY_OWNER;Owner:;Possesseur :;Besitzer:;W³aœciciel:;Infantería de testuz y cuernos;Possessore:;Tulajdonos:;Vlastník:;;;;;;x;
SUPPLY_ALLIED;Allied:;Allié :;Verbündet:;Sojusze:;Cuanta más población haya, mayores serán la producción y los ingresos por impuestos.;Alleato:;Szövetségben:;Spojenecký:;;;;;;x;
SUPPLY_ACCESS;Military Access:;Accès militaire :;Militärzugang:;Przemarsz wojsk:;La población crecerá automáticamente como efecto de una gran estabilidad, paz y tranquilidad. Disminuirá como efecto de un saqueo, ocupación o una escasa estabilidad.\n;Accesso militare:;Katonai hozzáférés:;Vojenský pøístup:;;;;;;x;
SUPPLY_CONTROLLER;Controlled:;Contrôlé par :;Kontrolliert:;Kontrolowane przez:;Peso máximo de unidades que la provincia puede abastecer sin acusar desgaste. El desgaste real también depende de varios factores más. Una cifra en rojo indica que las unidades estarán desabastecidas (lo que aumenta el desgaste). Los números en amarillo indican provincias adyacentes a fuentes de suministros.;Controllato:;Irányító:;Ovládáno:;;;;;;x;
SUPPLY_CONTROLLER_ALLIANCE;Controlled by an ally:;Contrôlé par un allié :;Von einem Verbündeten kontrolliert:;Kontrolowane przez sojusznika:;Base;Controllato da alleato:;Szövetséges által irányított:;Ovládáno spojencem:;;;;;;x;
SUPPLY_SIEGE;Is besieging:;Assiégeant :;Belagert:;Oblega:;Propietario:;Sta assediando:;Ostrom alatt:;Obléhá:;;;;;;x;
SUPPLY_CORE;Core:;Territoire clé :;Kernprovinz:;;Núcleo:;;;;;;;;;x;
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;Los fascistas abogan por la ampliación de la reforma social, y la eliminación de la reforma política, pero se opondrán a cualquier reforma mientras el partido gobernante no sea fascista.;;;;;;;;;x;
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;Los reaccionarios siempre tratan de evitar las reformas, tanto políticas como sociales.;;;;;;;;;x;
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;Los conservadores prefieren el statu quo, pero pueden apoyar reformas en condiciones de elevada militancia.;;;;;;;;;x;
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;Los socialistas abogan por promulgar más reformas sociales, pero pueden apoyar reformas políticas en condiciones de elevada militancia.;;;;;;;;;x;
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;Los comunistas quieren promulgar reformas sociales, pero rechazan las reformas políticas.;;;;;;;;;x;
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;Los liberales abogan por más reformas políticas, pero apoyarán también reformas sociales bajo condiciones de elevada militancia.;;;;;;;;;x;
anarcho_liberal_uh;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;Los anarcoliberales rechazan las reformas sociales, y nunca apoyarán más reformas de ningún tipo.;;;;;;;;;x;
RP_ACCUMULATED;We have accumulated §Y$VAL$§W research points that are currently unused.;Nous disposons de §Y$VAL$§W points de recherche actuellement inutilisés.;Wir haben §Y$VAL$§W Forschungspunkte angesammelt, die derzeit nicht verwendet werden.;;En estos momentos tenemos §Y$VAL$§W puntos de investigación acumulados sin utilizar.;;;;;;;;;x;
WEGAINCB_SETUP;When we gain a Casus Belli;Si nous obtenons un casus belli;Wenn wir einen Kriegsgrund erhalten;;Cuando se produce un 'casus belli';;;;;;;;;x;
WEGAINCB_HEADER;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;;;;;;x;
WEGAINCB_1;Casus Belli;Casus belli;Kriegsgrund;;Casus belli;;;;;;;;;x;
WEGAINCB_2;We have gained the;Nous avons obtenu un;Wir erhielten den;;Tenemos un;;;;;;;;;x;
WEGAINCB_3;$CASUS$' Casus Belli;Casus belli "$CASUS$";Kriegsgrund '$CASUS$';;Casus belli '$CASUS$';;;;;;;;;x;
WEGAINCB_4;against;contre;gegen;;contra;;;;;;;;;x;
WEGAINCB_5;$ENEMY$;$ENEMY$;$ENEMY$;;$ENEMY$;;;;;;;;;x;
WEGAINCB_6;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;x;
