EVTNAME5002;Stanley Cup;Coupe Stanley;Stanley Cup;;Copa Stanley;;;;;;;;;x
EVTDESC5002;Lord Stanley of Preston was very intrigued by ice hockey as he became Governor-General of the Dominion. Originally inscribed the Dominion Hockey Challenge Cup, the trophy was donated in 1892 by him, as an award for Canada's top-ranking amateur ice hockey club. ;Lord Stanley de Preston était très intrigué par le hockey lorsqu'il devint gouverneur général du Dominion. Appelée à l'origine Dominion Hockey Challenge Cup, la coupe lui fut offerte en 1892 en guise de récompense pour le meilleur club de hockey sur glace amateur du Canada. ;;;A Lord Stanley de Preston le fascinaba el hockey sobre hielo cuando fue nombrado gobernador general del protectorado. En un principio, respaldó la Copa Desafío de Hockey del Protectorado, cuyo trofeo donó en 1892, en recompensa por la gran posición que alcanzó el club de hockey sobre hielo amateur de Canadá. ;;;;;;;;;x
EVTOPTA5002;This might become popular...;Elle allait devenir très populaire...;Das könnte ein beliebter Sport werden...;;Esto podría llegar a ser popular...;;;;;;;;;x
EVTNAME5001;World Cup of Football;Coupe du monde de football;Fußball-Weltmeisterschaften;;Copa del Mundo de Fútbol;;;;;;;;;x
EVTDESC5001;Uruguay have just hosted the first World Cup of Football, which was a stellar success. Even though not many countries managed to travel here from Europe, there were still great football played. And what was most important of all, Uruguay won the final 4-2 over Argentina!;L'Uruguay vient d'accueillir la première Coupe du monde de football qui a remporté un vif succès. Bien que peu de pays européens aient réussi à faire le voyage jusqu'ici, nous avons assisté à du grand football. Et plus important encore, l'Uruguay a remporté la finale contre l'Argentine par 4 buts contre 2 !;Uruguay hat gerade die ersten Fußballweltmeisterschaften ausgerichtet, die ein fantastischer Erfolg waren. Obwohl daran aufgrund der Entfernung nicht viele europäische Länder teilnehmen konnten, wurde doch großartiger Fußball gespielt. Und das Wichtigste war, dass Uruguay das Finale mit 4:2 gegen Argentinien gewonnen hat!;;Uruguay acaba de ser el país anfitrión de la primera Copa del Mundo de Fútbol, que ha sido un gran éxito. A pesar de que no fueron muchos los países europeos que pudieron viajar hasta allí, se jugó un gran fútbol. ¡Y lo más importante de todo es que Uruguay ganó la final imponiéndose a Argentina por 4-2!;;;;;;;;;x
EVTOPTA5001;Glory to Uruguay!;Gloire à l'Uruguay !;Uruguay lebe hoch!;;¡Gloria a Uruguay!;;;;;;;;;x
EVTNAME5000;First FA Cup Played;Première Coupe d'Angleterre;Erster FA Cup ausgetragen;;Primera FA Cup disputada;;;;;;;;;x
EVTDESC5000;In a hard fought thrilling game, the first FA cup was today played at the Kensington Oval in London. In a surprise result, the $PROVINCENAME$ Albion won with 1-0 over Queens Park. The Spiders showed a lot of sportsmanship during the game, but eventually lost to a goal by Alfred Goodwyn in the second half.;Au cours d'une rencontre passionnante, la première Coupe d'Angleterre a eu lieu aujourd'hui au Kensington Oval de Londres. Et résultat surprenant, le $PROVINCENAME$ Albion l'a emporté avec 1 à 0 contre Queens Park. Tout au long du match, les Spiders ont montré une grande sportivité, mais ont finalement perdu lorsqu'Alfred Goodwyn a marqué un but en seconde mi-temps.;In einem spannenden und hart umkämpften Spiel wurde heute im Kensington Oval in London der erste FA Cup entschieden. Dabei konnte sich $PROVINCENAME$ überraschend mit 1:0 gegen Queens Park durchsetzen. Die Spiders spielten über den gesamten Spielverlauf sehr fair, verloren letztendlich aber durch ein Tor von Alfred Goodwyn in der zweiten Halbzeit.;;En un partido muy emocionante, hoy se libró la primera FA Cup en el Kensington Oval de Londres. Con un resultado sorprendente, el $PROVINCENAME$ de Albión se impuso por 1-0 al Queens Park. Los Spiders jugaron con mucha deportividad durante el partido, pero al final perdieron por un gol marcado por Alfred Goodwyn en la segunda mitad del encuentro.;;;;;;;;;x
EVTOPTA5000;The Poor might enjoy it!;Les pauvres apprécieront !;Sowas könnten den Armen gefallen!;;¡Los pobres podrían disfrutarlo!;;;;;;;;;x
DEFINE_ADMIRAL_EFFECT;Gain the service of §YAdmiral $NAME$§W ($PER$ $BAC$).\n;Obtenir les services de l'§Yamiral $NAME$§W ($PER$ $BAC$).\n;§YAdmiral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Yalmirante $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;x
