Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
BPM_TOOL_BORDER_1;Slim Dashed Border;;;;;;;;;;;;;
BPM_TOOL_BORDER_2;Medium Dashed Border;;;;;;;;;;;;;
BPM_TOOL_BORDER_3;Thick Dashed Border;;;;;;;;;;;;;
BPM_TOOL_BORDER_4;Medium Border;;;;;;;;;;;;;
BPM_TOOL_BORDER_5;Thick Border;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_SAR;Blue (Sardinia);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_ASY;Blue (Assyria);;;;;;;;;;;;;
BP_TOOL_COLOR_WHITE_AUS;White (Austria);;;;;;;;;;;;;
BP_TOOL_COLOR_GREY_CSA;Grey (CSA);;;;;;;;;;;;;
BP_TOOL_COLOR_BLACK_GER;Black (Germany);;;;;;;;;;;;;
BP_TOOL_COLOR_GREY_BUL;Grey (Bulgaria);;;;;;;;;;;;;
BP_TOOL_COLOR_PURPLE_KUR;Purple (Sicily);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_USA;Blue (USA);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_LPL;Blue (United Provinces);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_BRZ;Green (Brazil);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_MEX;Green (Mexico);;;;;;;;;;;;;
BP_TOOL_COLOR_RED_JAP;Red (Japan);;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_KUK;Brown (Austria-Hungary);;;;;;;;;;;;;
BP_TOOL_COLOR_ORANGE_HOL;Orange (Netherlands);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_TEX;Blue (Texas);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_PRU;Blue (Prussia);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_RUS;Green (Russia);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_ITA;Green (Italy);;;;;;;;;;;;;
BP_TOOL_COLOR_RED_DNB;Red (Danube Federation);;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_HUN;Brown (Hungary);;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_ROM;Yellow (Romania);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_VEN;Blue (Venice);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_SCA;Blue (Scandinavia);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_SYR;Green (Syria);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_ARU;Green (Arabia);;;;;;;;;;;;;
BP_TOOL_COLOR_PINK_POL;Pink (Poland);;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_PBC;Brown (PBC);;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_TKG;Yellow (Shogunate);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_ISR;Blue (Israel);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_GRE;Blue (Greece);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_POR;Green (Portugal);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_TUR;Green (Turkey);;;;;;;;;;;;;
BP_TOOL_COLOR_RED_ENG;Red (UK);;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_SAF;Brown (SAF);;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_PER;Yellow (Persia);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_FRA;Blue (France);;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_YUG;Blue (Yugoslavia);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_CAN;Green (Canada);;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_IRE;Green (Ireland);;;;;;;;;;;;;
BP_TOOL_COLOR_RED_RUS;Red (USSR);;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_GER;Brown (Germany);;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_SPA;Yellow (Spain);;;;;;;;;;;;;
