;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90005;Although we only want to help $CB_TARGET_NAME$ by adding them to our sphere of influence they have gotten very worked up about it. While unseemly to all involved, their behaviour has rather turned international opinion against forcefully requesting they join us in our prosperity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME4661019;The Status Quo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4661019;The latest war ended in status quo and Entre-Rios is free. Nothing stands in the way of Buenos Aires to dominate the Argentine Confederation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT4661019A;Porteno supremacy begins.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME600074;Uruguay Is Defeated;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC600074;President Rivera lost the war he started and we are now in a position to install Oribe, the true President, in the government of Uruguay.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600074A;Install Oribe as President but interfere no more.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600074B;Install Oribe as President and make sure he stays there.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600074C;Install Oribe as President and take steps to control Uruguay.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600074D;Don't interfere in Uruguay.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME600075;Rosas Is Defeated;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC600075;Rosas is defeated and fled Argentina to the United Kingdom. Oribe lost all claims on the presidency and also fled the country, but that will not stop trouble with the Blanco party.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600075A;Help the unitarians organize Argentina.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600075B;Don't interfere anymore.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME600076;The Armistice of $YEAR$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC600076;Uruguay and Argentina agreed to an armistice and peace talks led to the maintenance of the status quo. Our war to oust Rosas wasn't successful.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT600076A;Damn.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME45103;The Dominican Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC45103;La Trinitaria Society was victorious and our independence is now complete. We remained independent long enough for the world to recognize us as a sovereign state!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT45103OPTA;Viva la República Dominicana!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME203770;Slave population grows;;;;;;;;;;;;;x
EVTDESC203770;Despite slave trade being banned for some time now, a direct result of the United Kingdom pressure, the slave population in our country grows, not by trade but by population growth.;;;;;;;;;;;;;x
EVTOPTA203770;Good, Good.;;;;;;;;;;;;;x
EVTNAME600050;Polish Insurrection;;;;;;;;;;;;;X,,,,,,,,,,,
EVTDESC600050;When a Polish insurrection broke out in Galicia (Austrian Poland) and Krakow early in 1846 many Austrians held that Krakow's independent status provided the stimulus as well as a forum for the planning of Polish revolts. However, we are still bound by the Treaty of Vienna and our administration of Krakow with Prussia and Russia.;;;;;;;;;;x,,,,,,,
EVT600050OPTA;Dispatch diplomats to begin the talks.;;;;;;;;;;;;;X,,,,,,,,,,,
EVT600050OPTB;We don't care about Prussia and Russia consent on this matter, we must act now.;;;;;;;;;;;;;;;;X,,,,,,,,,,
EVT600050OPTC;Ignore the rebellion. They are harmless.;;;;;;;;;;;;;;;;X,,,,,,,,,,
EVTNAME600051;The Krakow Uprising;;;;;;;;;;;;;;;;X,,,,,,,,,,
EVTDESC600051;Polish nobles and scholars in our great city are starting a great revolution to restore Poland and end serfdom in our lands. This democratic movement is gathering momentum and might erupt at any time through Polish occupied lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600051OPTA;Let the revolutionaries take the city. Unite Poland!;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600051OPTB;Suppress the revolutionaries or the Austrians might retaliate.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600052;The Polish Question;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC600052;A Polish revolution began on Krakow and it threatens to spread like wildfire in our great nation. Austria is asking our consent to suppress Krakow, arguing the free city is the focus of the Polish nationality and insurgency and that suppressing the city can end future Polish rebellions. Our diplomats are worried that this rebellion may grow if we don't support the Austrians. What do we tell the Austrian envoy?;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600052OPTA;Let the Austrians know that they have our support on this matter.;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600052OPTB;The Treaty of Vienna needs to be upheld. We do not support the Austrians.;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600054;The Fate of Krakow;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC600054;Russia and Prussia agreed to our proposed solution. With the consent of the three nations, our troops are ready for deployment and to put down the polish rebellion.;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600054OPTA;To Krakow! For the Kaiser!;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600054OPTB;On second thought, we can't afford a war right now.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600055;The Fate of Krakow;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC600055;One or more powers disagrees with our solution for the Polish rebels. Acting now might anger them, but not acting might make the Poles even bolder.;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600055OPTA;We don't need their approval! We will march on Krakow.;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT600055OPTB;Maybe it's wiser to let this matter go.;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600056;Polish Nationality;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC600056;With the success of the Krakow Revolution, the city is being used as a base of operations to disrupt our activities in what they consider Polish territory and to incite Polish citizens to rebel. Our diplomats say this will only end when the city falls.;;;;;;;;;;X,,,,,,,,
EVT600056OPTA;Curses!;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600057;Colorado Victory;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC600057;Colorado Rebels took the government and forced president Oribe to step down. Fructuoso Rivera, once exiled in Brazil, returned and now assumes the country as interim president until the next election. Manuel Oribe, the former Blanco President, was forced to flee the country in exile to Buenos Aires. Rivera dissolved the parliament, called for an election and installed pro-Colorado politicians in the upper house while the Colorado Caudillos are laying down their arms and donating what they can to help the Colorado government. France and the United Kingdom, seeking the downfall of Rosas, are also sending help.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTOPT600057A;Long Live Fructuoso Rivera!;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600058;Oribe's Exile;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC600058;President Manuel Oribe from Uruguay was deposed by the Colorado Party and fled the country to Buenos Aires. Governor of Buenos Aires and president of the Argentine Confederation, Juan Manuel de Rosas, received him as the constitutional president and soon offered him the command of the armies of the Argentine Confederation. Rivera, the interim president of Uruguay and leader of the Colorados, is extremely hostile to Rosas and to the Confederation thanks to the fact that Rosas and other Federalist Argentines backed Oribe in the past as well due to ideological differences. Rivera now harbour Argentine exiles that might cause problems in the future.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTOPT600058A;Argentina will never recognize Rivera as President.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTOPT600058B;It's better to not risk a conflict.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME600059;The Rise of the Colorados;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
