KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
#translate notes;x = EN, FR, DE, IT controlled;y = as well as ES, PL, RU;z = …and PT;;;;;;;;;;;
AAA;The Observer;L'Observateur;Der Beobachter;Obserwator;El Observador;L'Osservatore;A megfigyelõ;Pozorovatel;A megfigyelõ;De waarnemer;O observador;Íàáëşäàòåëü;Tarkkailija;x
AAA_ADJ;Observing;Observante;Beobachtend;Obserwowaæ;Observante;Osservante;megfigyelése;Pozorování;megfigyelése;Observeren;Observando;Íàáëşäàòåëÿ;tarkkailemalla;x
AAA_PARTY;The Observing Faction;La faction observatrice;Die beobachtende Fraktion;Frakcja obserwuj¹ca;La facción observadora;La Fazione che Osserva;A megfigyelõ frakció;Pozorovací frakce;A megfigyelõ frakció;De waarnemende factie;A Facção Observadora;Ôğàêöèÿ Íàáëşäàòåëåé;Tarkkaileva ryhmä;x
AAC;Aachen;Aix-la-Chapelle;Aachen;Aachen;Aquisgrán;Aquisgrana;Aachen;Aachen;Aachen;Aachen;Aachen;Ààõåí;Aachen;x
AAC_ADJ;Aachener;Aixois;Aachener;Aachener;Aquisgranés;Aquisgranese;aachener;Aachener;aachener;Aachener;Aachener;Ààõåíåğ;Aachener;x
ABB;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Äîíãîëà;Dongola;z
ABB_ADJ;Dongolan;du Dongola;Dongola-;Dongoli;de Dongola;Dongolana;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Äîíãîëüñê.;Dongolan;y
ABE;Abenaki;Abénaquis;Abenaki;Abenacka;Abenaki;Abenachi;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêè;Abenaki;z
ABE_ADJ;Abenaki;Abénaqui;Abenaki;Abenaków;Abenaki;Abenaca;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêñê.;Abenaki;y
ABK;Abkhazia;Abkhazie;Abchasien;Abchazja;Abjasia;Abcasia;Abházia;Abcházie;Abházia;Abchazië;Abecásia;Àáõàçèÿ;Abhasia;x
ABK_ADJ;Abkhazian;Abkhaze;Abchasisch;Abchazji;Abjasio;Abcasa;abház;Abcházie;abház;Abchazisch;Abecásio;àáõàçñê.;abhaasi;x
ABO;The Aborigines;Les Aborigènes;Die Ureinwohner;Aborygeni;Los aborigenes;Gli Aborigeni;A bennszülöttek;Domorodci;A bennszülöttek;De Aboriginals;Os aborígenes;Àáîğèãåíû;Aborigines;x
