CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
canton;Farmlands;;;;;;;;x
annecy;Montane Grassland;;;;;;;;x
kassel;Grassland;;;;;;;;x
nagasaki;Grassland;;;;;;;;x
koblenz;Farmlands;;;;;;;;x
rouen;Grassland;;;;;;;;x
lubeck;Farmlands;;;;;;;;x
pozan;Grassland;;;;;;;;x
braunschweig;Farmlands;;;;;;;;x
linz;Forest;;;;;;;;x
catania;Grassland Hills;;;;;;;;x
chemnitz;Farmlands;;;;;;;;x
stjohn;Taiga;;;;;;;;x
berlin;Farmlands;;;;;;;;x
paris;Farmlands;;;;;;;;x
london;Farmlands;;;;;;;;x
stpetersburg;Grassland;;;;;;;;x
vienna;Grassland Hills;;;;;;;;x
newyork;Farmlands;;;;;;;;x
rome;Farmlands;;;;;;;;x
madrid;Farmlands;;;;;;;;x
stockholm;Farmlands;;;;;;;;x
istanbul;Grassland;;;;;;;;x
warsaw;Farmlands;;;;;;;;x
athens;Grassland;;;;;;;;x
lisbon;Farmlands;;;;;;;;x
amsterdam;Farmlands;;;;;;;;x
brussels;Grassland;;;;;;;;x
copenhagen;Grassland;;;;;;;;x
oslo;Grassland Hills;;;;;;;;x
helsinki;Farmlands;;;;;;;;x
munich;Grassland Hills;;;;;;;;x
hanover;Farmlands;;;;;;;;x
dublin;Farmlands;;;;;;;;x
belgrade;Grassland Hills;;;;;;;;x
turin;Farmlands;;;;;;;;x
naples;Grassland;;;;;;;;x
bern;Montane Grassland;;;;;;;;x
pest;Farmlands;;;;;;;;x
bukarest;Grassland;;;;;;;;x
cairo;Farmlands;;;;;;;;x
prague;Farmlands;;;;;;;;x
cologne;Grassland;;;;;;;;x
mexicocity;Grassland Hills;;;;;;;;x
barcelona;Grassland;;;;;;;;x
edinburgh;Grassland;;;;;;;;x
#edo;Urban;;;;;;;;x
hanseong;Forest;;;;;;;;x
peking;Grassland Hills;;;;;;;;x
shanghai;Grassland;;;;;;;;x
hongkong;Urban;;;;;;;;x
macao;Urban;;;;;;;;x
kiev;Farmlands;;;;;;;;x
riga;Farmlands;;;;;;;;x
moscow;Forest;;;;;;;;x
#minsk;Farmlands;;;;;;;;x
lyon;Grassland;;;;;;;;x
dc;Farmlands;;;;;;;;x
chicago;Farmlands;;;;;;;;x
sanfrancisco;Grassland;;;;;;;;x
hamburg;Farmlands;;;;;;;;x
dresden;Forest;;;;;;;;x
boston;Farmlands;;;;;;;;x
sofia;Grassland Hills;;;;;;;;x
tehran;Grassland Hills;;;;;;;;x
rennes;Grassland Hills;;;;;;;;x
