##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Common Event Options;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
EVTOPTBAD;This is bad news for us;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTBV;Bienvenidos;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTGOOD;Excellent!;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTNO;No;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTOHNO;Oh no!;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTYES;Yes;;;;;;;;;;X;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Country Events;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
##### Austria #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME101532;The Ruthenian Triad Publishes 'The Mermaid of the Dniester';;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101532;In 1837, the so-called Ruthenian Triad led by Markiyan Shashkevych, published 'The Mermaid of the Dniester', a collection of folksongs and other materials in the common Ruthenian tongue. Alarmed by such democratism, the authorities and the Greek Catholic Metropolitan sought to ban the book.;;;;;;;;;;X;;;x,,,,
EVTOPTA101532;Ban the book!;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTB101532;Let them have their book;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101533;Lajos Kossuth Released;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101533;A prominent Hungarian liberal, Lajos Kossuth, has finally been released from jail, along with other notable liberals. Since his release he has become something of a national hero to many Hungarians, and he has continued his opposition towards our government. As the editor of the Pesti Hirlap he has talked about the great economic and societal problems within Hungary, advocated full national autonomy within the Habsburg Empire, the immediate emancipation of the serfs - with no compensation to aristocrats - and an end of noble privileges. He has also promoted industrialization by founding the Gyáralapito és Kereskedelmi Társaság (Factory-Founding and Commercial Society).;;;;;;;;;;X;;;x,,
EVTOPTA101533;Another mouthpiece for the nationalists...;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101534;End the Publication of the Pesti Hirlap?;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101534;We have tried to put an end to Kossuth’s hostility to our rule for some time now. His criticism of our rule in Hungary is highly influential and therefore highly damaging for us. His chief political weapon is a liberal rag, the Pesti Hirlap, in which he has been able to express his radical views. Perhaps if we were to purchase the newspaper we could put an end to Kossuth’s ramblings?;;;;;;;;;;X;;;x,,,,,,
EVTOPTA101534;We must stop this anti-government drivel!;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTB101534;Let it continue to circulate;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101535;Hungarian Moderates Sidelined;;;;;;;;;;x;;;x,,,,,,,,
