;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BP_TOOL_COLOR_WHITE;White;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_GREY;Grey;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_BLACK;Black;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_BROWN;Brown;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_LIGHTBROWN;Light Brown;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_DARKRED;Dark Red;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_PINK;Pink;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_ORANGE;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_PURPLE;Purple;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_DARKGREEN;Dark Green;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_LIGHTGREEN;Light Green;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_LIGHTBLUE;Light Blue;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_TEXASBLUE;Blue(Texas);;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_PRUSSIANBLUE;Blue(Prussia);;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_BEIGE;Beige;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_DARKYELLOW;Dark Yellow;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
BP_TOOL_COLOR_ORANGEYELLOW;Yellow(Persia);;;;;;;;;;;;;;;;;;;;;;;;;;;;x
