Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;
HAS_GOODS;produces ;;;;;;;;;;;;;
shinto;Shinto;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
HAS_SIEGE;Under Siege;;;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;
active_p;Active;Actif;Aktiv;;;;;;;;;;;
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;
apathetic;Apathetic;;;;;;;;;;;;;
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;
able;Able;Capable;Fähig;;;;;;;;;;;
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;
grain_farm_inv;Organized grain farmes;;;;;;;;;;;;;;
grain_farm_inv_desc; ;;;;;;;;;;;;;;
fruit_farm_inv;Organized fruit plantations;;;;;;;;;;;;;;
fruit_farm_inv_desc; ;;;;;;;;;;;;;;
stables_management_1;Stables;;;;;;;;;;;;
stables_management_1_desc; ;;;;;;;;;;;;
stables_management_2;Stables;;;;;;;;;;;;
stables_management_2_desc; ;;;;;;;;;;;;
grain_farm_management_1;Grain Farm;;;;;;;;;;;;;;
grain_farm_management_1_desc; ;;;;;;;;;;;;;;
fruit_farm_management_1_desc; ;;;;;;;;;;;;;;
fruit_farm_management_1;Fruit Plantation;;;;;;;;;;;;;;
charcoal_mill_management_1;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_1_desc; ;;;;;;;;;;;;;;
grain_farm_management_2;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_2;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_2_desc; ;;;;;;;;;;;;;;
fruit_farm_management_2_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_2;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_2_desc; ;;;;;;;;;;;;;;
grain_farm_management_3;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_3;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_3_desc; ;;;;;;;;;;;;;;
fruit_farm_management_3_desc; ;;;;;;;;;;;;;;
grain_farm_management_4;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_4;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_4_desc; ;;;;;;;;;;;;;;
fruit_farm_management_4_desc; ;;;;;;;;;;;;;;
grain_farm_management_5;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_5;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_5_desc; ;;;;;;;;;;;;;;
fruit_farm_management_5_desc; ;;;;;;;;;;;;;;
grain_farm_management_6;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_6;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_6_desc; ;;;;;;;;;;;;;;
fruit_farm_management_6_desc; ;;;;;;;;;;;;;;
grain_farm_management_7;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_7;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_7_desc; ;;;;;;;;;;;;;;
fruit_farm_management_7_desc; ;;;;;;;;;;;;;;
grain_farm_management_8;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_8;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_8_desc; ;;;;;;;;;;;;;;
fruit_farm_management_8_desc; ;;;;;;;;;;;;;;
grain_farm_management_9;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_9;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_9_desc; ;;;;;;;;;;;;;;
fruit_farm_management_9_desc; ;;;;;;;;;;;;;;
grain_farm_management_10;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_10;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_10_desc; ;;;;;;;;;;;;;;
fruit_farm_management_10_desc; ;;;;;;;;;;;;;;
grain_farm_management_11;Grain Farm;;;;;;;;;;;;;;
fruit_farm_management_11;Fruit Plantation;;;;;;;;;;;;;;
grain_farm_management_11_desc; ;;;;;;;;;;;;;;
fruit_farm_management_11_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_3;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_3_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_4;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_4_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_5;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_5_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_6;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_6_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_7;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_7_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_8;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_8_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_9;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_9_desc; ;;;;;;;;;;;;;;
