grand_tactics;Grand Tactics;;
grand_tactics_desc;Grand tactics, also known as maneuver tactics or minor strategy, was a term related to the maneuvering of troops not currently engaged in combat. It eventually developed into the concept of the operational level of war. The recent Napoleonic Wars had shown how superior speed could be achieved by proper organization of troops and logistics, and how said speed could be used to force battle on advantageous terms.;;
creeping_barrage;Creeping Barrage;;
creeping_barrage_desc;A development of the concept of synchronized heavy support, a creeping barrage was an artillery bombardment that moved along with an attack in a preplanned pattern. Typically, the barrage front would move ahead of the attacking infantry to cover its advance and suppress defenders, then prevent the enemy from reinforcing the attacked front by bombarding reserve lines and expected routes of reinforcement.;;
defense_in_depth;Defense in Depth;;
defense_in_depth_desc;If trench systems with endless layers, reserve lines and fallback positions turned out to be insufficient to stop an attacker, a final resort was to take the whole concept of flexible counterattacks to the operational level. That is, let the attacker advance, wait for the attacker to overextend when trying to exploit the breakthrough, and counterattack. This is largely what happened to the German army on the Western Front of the Great War in 1918. Counterattacks by tanks turned out to be particularly effective, as the German army had outrun its own artillery and had little else at the time to counter tanks with.;;
modern_army_doctrine;Army Motorization;;
air_interdiction;Air Interdiction;;
air_interdiction_desc;Air interdiction is the use of air power to disrupt the enemy operationally. Attacks against rear support functions like logistics, headquarters and communications can reduce the effectiveness of enemy frontline units, while enemy troop movement can be hindered by attacking infrastructure and enemy units moving in marching column along roads.;;
close_air_support;Close Air Support;;
close_air_support_desc;Close air support is the use of air power tactically in support of ground troops, as a battlefield force multiplier. Aircraft thus used are sometimes described as flying artillery, and had the advantage of being able to be rapidly and precisely brought to bear where needed most.;;
motorized_combined_arms_groups;Motorized Combined Arms Groups;;
motorized_combined_arms_groups_desc;The Great War showed the militaries of the great powers the need for capabilities at rapid exploitation of breakthroughs, and for the force doing so to retain combat readiness while doing it rather than overextending itself by outrunning its support elements. The solution was to create entire self-sufficient combined arms groups where every element is motorized and can keep up. Few anticipated at the time that it would not merely provide a counter to the stalemate of trench warfare, but to bring back maneuver warfare into such prominence that such stalemates were unlikely to develop in the first place.;;
motorized_reserves;Motorized Reserves;;
motorized_reserves_desc;Motorization did not only enhance the operational capabilities of attackers, but also brought defenders ways of countering them. Motorized reserves could be used to parry attacks, either by quickly moving in to plug a gap in the frontline or to carry out counterattacks against attackers trying to exploit a breakthrough.;;
spgs_n_assault_guns;Self-Propelled Guns & Assault Guns;;
spgs_n_assault_guns_desc;As motorization brought back maneuver warfare into prominence, motorization of artillery became relevant. Self-propelled guns were able to keep up with motorized forces or be rapidly redeployed as needed, and assault guns were able to provide close direct-fire support to infantry right at the frontline.;;
muzzle_loaded_rifle_armament;Percussion Cap;;
muzzle_loaded_rifle_armament_desc;A percussion cap is a charge made of a highly reactive chemical that will combust upon being hit with sufficient force. A caplock is a firing mechanism using a hammer connected to the trigger striking a percussion cap to ignite the gunpowder charge. While the caplock did not in itself provide a major improvement in performance over the flintlock, its relative mechanical simplicity enabled future developments in gun design.;;
minie_bullet;Minié Bullet;;
minie_bullet_desc; This was a cylindrical bullet with a conical dent at its end, which made it deform outward to cover the entire width of the barrel when fired. Consequently, it could be used in rifled guns without needing a tight fit between bullet and barrel, something that had previously limited the rate of fire of rifled guns and limited their military use. The most prominent muzzle-loading rifles using Minié bullets were the eponymous Minié rifle, the Enfield rifle, the Lorenz rifle and the Springfield rifle.;;
breech_loaded_rifle_armament;Needle Guns;;
breech_loaded_rifle_armament_desc;A needle gun has a firing mechanism design where pulling the trigger released a needle-like firing pin that penetrates a paper cartridge to hit and ignite a percussion cap at the end of the bullet. This allowed for the use of a single breech-loaded cartridge combining bullet, percussion cap and gunpowder charge. The mechanism was first used on the Dreyse needle gun, after which others followed suit.;;
chamber_obturation;Chamber Obturation;;
chamber_obturation_desc;One issue early breech-loading firearms had was the leakage of pressure from the chamber when firing, through air gaps between moving parts. Various mechanics were devised to mitigate the problem. A prominent case was the Chassepot rifle that used a rubber fitting for the purpose.;;
metallic_cartridges;Metallic Cartridges;;
metallic_cartridges_desc;Metallic cartridges offered advantages over the previously used paper cartridges. The metal casing served to direct the force produced by the combustion of gunpowder, as well as contributed to obturation by expanding to cover the inner surfaces of the chamber. The most prominent early rifles to use the metallic cartridge were the Snider-Enfield rifle, the Mauser rifle and the Gras rifle.;;
volley_guns;Volley Guns;;
volley_guns_desc;Multi-barreled volley guns have existed in one form or the other almost as long as guns have, and the 19th century was no exception, the several variants of the Mitrailleuse being the most prominent examples. Precursors to proper machine guns, they could fulfil much the same role, though suffered from the same disadvantage that volley guns always had: Each barrel had to be reloaded separately after all were discharged, making them able to achieve high rates of fire only for short durations.;;
mechanized_reloading;Mechanized Reloading;;
mechanized_reloading_desc;Achieving high sustained rates of fire inevitably required mechanization of the loading process. The first mechanically loaded guns used manually operated cranks or levers to drive the loading mechanism. The most successful such design was the Gatling gun, which used multiple barrels revolving around a central shaft, each barrel being in a different phase of the cycle of loading, firing and ejecting the cartridge.;;
machine_gun_armament;Fully Automatic Fire;;
machine_gun_armament_desc;Automatic firearms operate by using part of the energy released by the combustion of gunpowder to drive the reloading mechanism. The first practical such design was the Maxim gun, which absorbed part of the recoil to drive a reloading mechanism at the breech.;;
bolt_action_rifles;Repeating Rifles;;
bolt_action_rifle_armament;Lever Action;;
bolt_action_rifle_armament_desc;A repeating rifle is a rifle with an internal magazine, allowing several shots to be fired between reloads, with at most a manual action needed by the user between shots to chamber a new cartridge. The first repeating rifles were lever-action rifles, where the cartridges were typically in a tube magazine under the barrel and the chambering done by pulling a lever typically consisting of the trigger guard and a handle behind it by the stock. The Winchester rifle was the most famous and prominent rifle of this kind.;;
bolt_action;Bolt Action;;
