associationism;Thermodynamics;;
steam_turbine;Combustion Engine;;
combustion_engine;Steam Turbine;;
electrical_power_generation;Advanced Combustion Engines;;
factoryupkeep_high_n_low_pressure_steam_engines;Corliss Engine;;
factoryupkeep_high_n_low_pressure_steam_engines_desc;The Corliss Engine was an improvement over previous stationary steam engines. Its main features were separate valves for letting steam into and out of the cylinder, and systems for controlling their timing as to regulate engine operation. It offered significantly higher energy efficiency than earlier engines, requiring less coal to perform work.;;
factoryupkeep_steam_turbine;Compound Steam Engines;;
factoryupkeep_steam_turbine_desc;A compound steam engine is one where steam is led to expand in several consecutive cylinders, allowing a larger fraction of the thermal energy of the steam to be converted to mechanical work, thus enabling higher energy efficiency.;;
factoryupkeep_combustion_engine;Generators and Electric Machinery;;
factoryupkeep_combustion_engine_desc;Generating electricity and using it to power industrial machinery offers key advantages over transmitting power mechanically. Electricity can be transmitted in a highly precise, controlled way over long distances, providing just the right amount of power just where it is needed, resulting in both higher energy efficiency and greater versatility.;;
factoryupkeep_electrical_power_generation;Oil-Fired Power Plants;;
factoryupkeep_electrical_power_generation_desc;Heavy fuel oil is a product of oil refining unsuitable for use in internal combustion engines. Instead, it is useful as a complement to coal in powering steam engines, not just substituting for part of the coal but making it ignite easier too.;;
steam_locomotives;Steam Locomotives;;
steam_locomotives_desc;Steam locomotives allowed for powered rail transport, replacing animal power with a more economic alternative.;;
diesel_locomotives;Diesel Locomotives;;
diesel_locomotives_desc;Developments in Diesel engine design eventually made them feasible for use in locomotives, offering an alternative to steam power that is more economical in many situations.;;
fabric_factory_i;Cotton Mill;;
fabric_factory_i_desc;A cotton mill weaves, bleaches, dyes and looms cotton into fabric. It is arguably the factory that started the whole Industrial Revolution.;;
fabric_factory_wool_i;Wool Mill;;
fabric_factory_wool_i_desc;A wool mill weaves, bleaches, dyes and looms wool from wool-producing livestock into fabric.;;
lumber_mill_i;Lumber Mill;;
lumber_mill_i_desc;A lumber mill saws raw timber into lumber. Lumber is used to build a wide range of things, from countryside houses to kitchen tables to warships.;;
steam_tractors;Steam Tractors;;
steam_tractors_desc;Steam tractors bring steam power beyond the reach of stationary factory engines or railroad locomotives, whether it means pulling hauls on a road, agricultural machines on a field, or being hitched to machines to provide input torque.;;
tractors;Gasoline Tractors;;
tractors_desc;The internal combustion engine made tractors truly come into their own, offering both superior power to weight and more precise control of output power than earlier steam-powered tractors.;;
canned_food_factory_i;Meat Cannery;;
canned_food_factory_i_desc;Canning is the preservation of food by temporarily sterilizing it and sealing it in airtight metal cans. It is a relatively convenient and cost-efficient method of food preservation and thus, canned food is used to feed urban populations and troops in the field. This factory turns livestock into canned food.;;
canned_food_factory_fish_i;Fish Cannery;;
canned_food_factory_fish_i_desc;Canning is the preservation of food by temporarily sterilizing it and sealing it in airtight metal cans. It is a relatively convenient and cost-efficient method of food preservation and thus, canned food is used to feed urban populations and troops in the field. This factory turns fish into canned food.;;
paper_mill_i;Paper Mill;;
paper_mill_i_desc;A paper mill uses chemicals to break down timber into a fibrous pulp, which is then reformed into sheets of paper. Paper is used mainly for bookkeeping and distribution of the written word.;;
ammunition_factory_i;Ammunition Factory;;
ammunition_factory_i_desc;This factory turns iron and chemicals into a wide range of different types of ammunition, from rifle cartridges to artillery shells.;;
furniture_factory_i_desc;Furniture Factory;;
furniture_factory_i_desc;Furniture is made here from lumber. It is a necessity for every home and thus in demand by the entire population regardless of income.;;
printing_press_i;Printing Press;;
printing_press_i_desc;A printing press imprints the written word onto paper, using chemicals such as inks and pigments, producing goods such as books, newspapers and propaganda pamphlets.;;
regular_clothes_factory_i;Regular Clothes Factory;;
regular_clothes_factory_i_desc;This factory uses fabric to produce cheap, utilitarian clothing for the general populace.;;
sharp_n_roberts_power_loom;Cotton Gin;;
sharp_n_roberts_power_loom_desc;The cotton gin (engine) is a machine for mechanical separation of cotton seeds from the fibre. It was critical for making cotton an economically viable raw material for the mass production of textiles.;;
clipper_shipyard_i;Sail Shipyard;;
clipper_shipyard_i_desc;Even as steam-powered warships rendered sailships obsolete for combat, sailships retained their usefulness for merchant shipping due to requiring no fuel for propulsion. Building sailships requires lumber for the hull and fabric for the sails and the rigging.;;
iron_rail;Iron Railroad;;
iron_rail_desc;Advances in iron working made all-iron rail feasible, allowing for heavier loads than previous rail designs that used a combination of wood and iron.;;
steel_rail;Steel Railroad;;
steel_rail_desc;Advances in steel manufacturing made it economically feasible to produce and use steel rail. It allowed for even heavier loads than iron rail, and the higher cost of steel was more than worth it due to the much reduced wear suffered by the rails.;;
experimental_railroad;Unpowered Railroads;;
early_railroad;Civil Engineering;;
iron_railroad;Rail Engineering;;
steel_railroad;Rail Organization;;
integral_rail_system;Integral Rail System;;
limited_access_roads;High-Speed Roads;;
canal_infrastructure;Canals;;
canal_infrastructure_desc;Transportation along rivers is more economical than along roads due to the lack of friction losses, even in case the cargo needs to be towed on a barge by draft animals on the riverbank. Thus, civilization has predominantly developed around waterways. The question is, though, why settle for what nature has given you when you can make your own? The industrial age saw an expansion of canal networks in order to efficiently bring in raw materials to the growing industrial cities.;;
tunnel_construction;Tunnel Construction;;
tunnel_construction_desc;Advances in civil engineering allowed for reliable construction of tunnels large enough for rail and road transportation. Being able to go under or through obstacles makes, quite literally, another dimension available for infrastructure design.;;
rack_railway;Rack Railway;;
rack_railway_desc;A rack railway is a railway where a cogwheel on the train engages a toothed rail, typically an additional third rail in the middle. It allows for trains to climb steeper slopes, opening up more areas for rail transport.;;
train_timetables;Train Timetables;;
train_timetables_desc;Previously, transportation services would largely run according to demand, and departures happen whenever there was a sufficient amount of cargo or passengers. The move to timetable-based running improved reliability and allowed for better operative coordination by rail transport companies and their customers alike, and reduced time wasted waiting.;;
industrial_zoning;Industrial Zoning;;
industrial_zoning_desc;Concentrating industrial activity to predefined districts with their own dedicated railway stations allows for trains to get almost all the way to the doorstep of the factory. It also improves air quality in the districts where workers live.;;
limited_and_controlled_access;Limited and Controlled Access;;
limited_and_controlled_access_desc;The proliferation of high-speed road vehicles caused traffic planners an additional consideration: Interference to traffic caused by slowdowns at intersections and crossings. The solution was to limit access to high-speed roads to a smaller number of key points and to design entries and exists so that they cause minimal interference, primarily by making users cross the paths of as few other users as possible.;;
glass_factory_i;Glass Factory;;
glass_factory_i_desc;Glass is produced in a coal-powered kiln from silica mixed with various minerals. It is mainly used as a consumer good in the form of windows, mirrors and glassware, but also as an industrial intermediate good.;;
steel_factory_i;Steel Factory;;
steel_factory_i_desc;Iron is smelted and mixed with coal to produce steel at this factory. Being used for both construction and machinery, steel is a vital resource that no emergent industrial power should be without.;;
cement_factory_i;Cement Factory;;
cement_factory_i_desc;Cement is made by heating clay and limestone in a kiln, and grinding it to a fine powder. It is, along with steel, the material that the growing industrial cities of the age are built of. It is used to build factories and used as a consumer good to build housing, mainly by craftsmen, clerks and capitalists.;;
artillery_factory_i;Artillery Factory;;
artillery_factory_i_desc;This factory casts, bores and assembles artillery guns of various types from steel. Artillery is required to arm a navy, and is an important support weapon for an army.;;
small_arms_factory_i;Small Arms Factory;;
small_arms_factory_i_desc;Small arms are produced from steel and lumber here. As small arms are what the core of a country's army is equipped with, this factory is essential for a country striving for military self-sufficiency.;;
charcoal_factory_i;Charcoal Plant;;
charcoal_factory_i_desc;Charcoal is what you get when wood is heated while deprived of oxygen to prevent combustion. While less economically efficient than mining, charcoal-burning provides an alternative coal source for countries lacking mines of their own.;;
machine_parts_factory_i;Machine Factory;;
machine_parts_factory_i_desc;Using self-powered machinery to do work rather than doing it yourself is what industrialization is about, and this factory exists to provide that machinery. Machines are built out of steel, and need lubricant to keep friction from overheating them or wearing them apart.;;
chemistry_and_electricity;Chemical Industry;;
medicine;Early Chemical Industry;;
soap_factory_i;Soap Factory;;
soap_factory_i_desc;Soap is what keeps people and places clean, and thus is an everyday consumer good for the entire population. In this factory, soap is made from palm oil and alkaline chemicals.;;
liquor_distillery_i;Brewery;;
liquor_distillery_i_desc;Beer has been brewed from grain since time immemorial, and this factory uses the latest industrial technology to do it more efficiently than ever before. Beer is an everyday consumer good consumed in large amounts by all strata of society.;;
confectionery_factory_i;Confectionery Factory;;
confectionery_factory_i_desc;Confectionery is a catch-all term for sweet food products: Candy, cakes, pastries, biscuits, chocolate. It is a good consumed by all strata of the population.;;
winery_i;Winery;;
